「……私に何か？」	「嗯？谁在呼唤我？」
「…この幻想郷は色々と自由奔放な人物が多いからな。ちゃんと礼節をもって挨拶に来てくれるのは嬉しいよ」	「…因为这个幻想乡有很多自由奔放的人物。你能有礼貌地来问候我，我很高兴」
そう言うと%ANAME(TARGET)%は柔和な眼差しで微笑んだ	这么说着，%ANAME(TARGET)%带着温柔的眼神微笑着
男を虜にするような美女の笑みを向けられ、%ANAME(MASTER)%はその美貌に心臓を打たれたような錯覚を抱いた	面对着能俘获男人的美女的笑容，%ANAME(MASTER)%有着为她的美貌动心的感觉
「それでは、これからよろしく頼むぞ。どうか私のために尽力してくれ。……ああ、それと」	「那么，今后请多关照。请为我而效力。……啊，还有」
%ANAME(TARGET)%は思い出したかのように一言付け加える	%ANAME(TARGET)%像想起来似地加上一句话
「今度挨拶に来る時は油揚げを持ってきてくれると、その、何だ…とても嬉しいぞ？」	「下次来打招呼的时候带上油炸豆腐，嗯？为什么？…因为我会很开心哦？」
「…まぁ、そういう目線には慣れております。それで、私に何か御用ですか？」	「…嘛，我已经习惯了这种视线。那么，有什么事要我做吗？」
誤魔化しの咳払いの後%ANAME(MASTER)%は、同盟国の方々に挨拶に参った、と伝えた	心虚地咳嗽后%ANAME(MASTER)%告诉同盟国的各位，我是来问候的
「ほう、挨拶に。わざわざご丁寧にどうも」	「是这样啊，谢谢您专程前来问候」
「私は%NAME_FORMAL(TARGET)%と申します。以後お見知りおきを」	「我名为%NAME_FORMAL(TARGET)%。以后请多关照」
「この先何があるか分かりませんが、少なくとも今は同士。共に力を合わせていきましょう」	「虽然不知道以后会发生什么，至少现在是伙伴。一起合力前进吧」
誤魔化しの咳払いの後%ANAME(MASTER)%は、この乱世を鎮めるために力を貸して欲しい、と伝えた	假装咳嗽后%ANAME(MASTER)%告诉她，为了平定这个乱世，希望你能助我一臂之力
「……ふむ、そういうことですか」	「嗯……是这样吗」
「私も幻想郷のために尽力する身、一先ずはよろしくお願いします」	「为了幻想乡也要尽力而为了，那么请多关照」
これは心強い！　名高い九尾の狐の力を借りれるとなると鬼に金棒だ	这真是好极了！有了九尾的帮助，真是如虎添翼
「あ、いや…私は厳密に言えば九尾の狐ではなくて、それを依代にしている式神なのだが…、まぁいいか」	「啊，不，不是…严格说来，我并不是九尾，而是以此为凭依的式神…算了吧」
「それでは、不肖この%NAME_FORMAL(TARGET)%、微力ながらお手伝いしましょう」	「那么，鄙人%NAME_FORMAL(TARGET)%，虽力微，但让我相助吧」
「…やあ、%ANAME(MASTER)%」	「…啊，%ANAME(MASTER)%」
捕虜用にあてがわれた部屋にて、九本の大きな尻尾を持った美女が%ANAME(MASTER)%の呼びかけに応えた	在被俘用的房间里，有九条大尾巴的美女回应了%ANAME(MASTER)%的召唤
%ANAME(MASTER)%は相変わらずの美貌にしばし見とれる	%ANAME(MASTER)%对着她那一如既往的美貌，一时看得出神
「ふう、相変わらずだな%ANAME(MASTER)%は。それで、私に何の用かな？」	「呵呵，还是老样子啊%ANAME(MASTER)%。那你找我有什么事吗？」
誤魔化しの照れ笑いの後%ANAME(MASTER)%は、この乱世を鎮めるため我が軍に力を貸して欲しい、と伝えた	为缓解尴尬地羞笑后%ANAME(MASTER)%说道，为了平定这个乱世，希望能借助其力量
「……ふむ。私を牢に繋がずにいた理由はそれか」	「……嗯。这就是你为什么不把我关在监狱里的原因吗」
「うーん、どうしようかな。お前のためならそれもやぶさかではないが……」	「嗯，怎么办呢。如果是为了你的话，那也不是很不乐意……」
「まあ、お前のことは嫌いではないが……。それとこれは話が違うしなぁ…」	「嘛，虽然我并不讨厌你……但也不能和这事相提并论啊…」
「…やはり、そう簡単に答えを出すわけにもいかない。すまないがもう少し時間をくれないだろうか」	「…还是不能那么草率地给出答案。对不起，能再给我点时间吗」
……流石に易々とは行かないようだ	……看来还是不容易地说服
だが感触は悪くない。このまま根気強く交流を続けて心変わりを願おう	但感觉还不错。就这样耐心地继续交流，希望其能改变心意吧
「それじゃあしばらく厄介になる。よろしく頼むよ、%ANAME(MASTER)%」	「那么暂时就麻烦多多关照了，%ANAME(MASTER)%」
「…まぁ、そういう目線には慣れているよ。それで、私に何か用ですか？」	「…嘛，我已经习惯了这种视线。那你找我有什么事吗？」
「ああ、%ANAME(MASTER)%。久しぶりだな」	「啊，%ANAME(MASTER)%。好久不见了」
九本の大きな尻尾を持った美女が%ANAME(MASTER)%の呼びかけに応えて振り向いた	有九根大尾巴的美女因%ANAME(MASTER)%的呼唤而转身
「ふふ、相変わらずだな%ANAME(MASTER)%は。それで、私に何か用かい？」	「呵呵，还是老样子呢%ANAME(MASTER)%桑。那你找我有什么事吗？」
誤魔化しの照れ笑いの後%ANAME(MASTER)%は、改めて%ANAME(TARGET)%様に挨拶に伺いました、と伝えた	尴尬地微笑后%ANAME(MASTER)%再次向%ANAME(TARGET)%大人打招呼
「ふむ、感心だぞ%ANAME(MASTER)%。やはり挨拶はちゃんとしないとな」	「嗯，感觉不错呢%ANAME(MASTER)%桑。果然还是要好好问候呢」
そう言うと%ANAME(TARGET)%は笑顔を浮かべ、%ANAME(MASTER)%の頭をよしよしと撫でた	这样说着，%ANAME(TARGET)%脸上浮现出笑容，温柔地抚摸着%ANAME(MASTER)%的头
突然の、しかし優しい手つきに逆らえず%ANAME(MASTER)%はなすがままになってしまった	突然的，但却无法违抗温柔的手法，%ANAME(MASTER)%就这样任其所为
「あっ…す、すまない。ついいつものクセで…。気分を害したりしていないか？　何だが顔が赤いようだが…」	「啊…对，对不起。不知不觉就习惯了…。你有没有心情不好？总觉得脸好像红了…」
紅潮した顔を何でもありませんと誤魔化すと、お互いの間に妙な空気が流れた…	当她用一张红潮的脸敷衍说没什么，两人之间便产生了奇妙的气氛…
「こほんっ、あー、それでは改めて。これからもよろしく頼むぞ、%ANAME(MASTER)%」	「真是的...啊，那么重新来过。今后也请多关照了，%ANAME(MASTER)%」
「…まぁ慣れてはいるが、目上の者にそういう視線を送るのは感心しないな。それで、私に何か用か？」	「…嘛，虽然已经习惯了，但是对上司用那样的眼光看，真让人佩服啊。那你找我有什么事吗？」
誤魔化しの咳払いの後%ANAME(MASTER)%は、この乱世を鎮めるため尽力します、と伝えた	为缓解尴尬地咳嗽后%ANAME(MASTER)%说道，会为了平定这个乱世而尽力
「ふむ、私も期待しているよ」	「嗯，我也期待着哦」
「それでは%ANAME(MASTER)%。改めて、よろしく頼む」	「那么%ANAME(MASTER)%。再一次地，请多关照」
誤魔化しの照れ笑いの後%ANAME(MASTER)%は、せっかく同盟を組んだのだから手土産を持って会いに来た、と伝えた	为缓解尴尬地害羞笑后%ANAME(MASTER)%告诉她，好不容易结成同盟，所以带着礼物来见她
「ほほう、わざわざ顔を出してくれるとは嬉しいよ」	「呵呵，你特地来见我，我很高兴」
「…それにその包み。油揚げだな？　匂いで分かるぞ。私のために用意してくれたのか？」	「…而且那个包。是油炸食品吧？闻着味道就知道了。特的为我准备的吗？」
%ANAME(TARGET)%は油揚げが好物と聞き持参した物だが、当人は大いに喜んでくれたようだ	你说听闻她喜欢吃油炸豆腐就拿来了，%ANAME(TARGET)%似乎非常高兴
「ふふ♪　%ANAME(MASTER)%は気が利くな。とても嬉しいよ」	「fufu♪%ANAME(MASTER)%很机灵呐。我很开心哦」
「私の方もお茶を出そう。どうかゆっくりしていってくれ」	「我来泡茶吧，请慢慢来」
誤魔化しの咳払いの後%ANAME(MASTER)%は、せっかく同盟を組んだのだから挨拶に来た、と伝えた	假装咳嗽后%ANAME(MASTER)%告诉她，好不容易结成同盟，所以特意来问候
「ほう、わざわざ挨拶に。それはご丁寧にどうも」	「啊，特意来打招呼。那太客气了」
「何があるわけでもありませんが、どうぞゆっくりしていってください」	「请不要客气，慢慢来就好」
誤魔化しの照れ笑いの後%ANAME(MASTER)%は、この乱世を鎮めるために力を貸して欲しい、と伝えた	缓解尴尬地害羞笑后%ANAME(MASTER)%告诉她，为了平定这个乱世，希望能借助你的力量
「……ふむ、そういうことか」	「……嗯，是这样啊」
「分かった。不肖この%NAME_FORMAL(TARGET)%、幻想郷の平和のために手を貸そう」	「明白了。鄙人%NAME_FORMAL(TARGET)%，为了幻想乡的和平也要尽力而为了」
「あ、その…私は厳密に言えば九尾の狐ではなくて、それを依代にしている式神なのだが…、あー、まぁいいか」	「啊，那个…严格说来，我并不是九尾，而是以此为凭依的式神…啊，算了吧」
「それでは、これからよろしく頼むぞ、%ANAME(MASTER)%」	「那么，接下来就拜托你了，%ANAME(MASTER)%」
「私も幻想郷のために尽力する身、微力ながら出来ることもあるでしょう」	「为了幻想乡我虽然力微但也要尽力而为之」
「それでは、不肖この%NAME_FORMAL(TARGET)%、お手伝い致しましょう」	「那么，鄙人%NAME_FORMAL(TARGET)%，来相助与你」
「ちゅ……おはよう、%ANAME(MASTER)%♥　良く眠れたか？」	「唔……早上好，%ANAME(MASTER)%♥睡得好吗？」
頬に口づけを受けて%ANAME(MASTER)%が目を覚ますと、添い寝していた%ANAME(TARGET)%の美貌が真っ先に目に入る	脸颊被亲吻后，%ANAME(MASTER)%醒了，陪睡的%ANAME(TARGET)%的美貌最先映入眼帘
部屋に差し入る朝日が金の髪を輝かせ、眩いばかりの美しさとなって%ANAME(MASTER)%の目を奪う	阳光照进房间里，金发闪闪发光，美得令人目眩，吸引了%ANAME(MASTER)%的目光
「ふふ、私に見惚れてくれるのか？　ならもっと、近くへおいで♥」	「fufu，迷上我了吗？那就再靠近一点吧♥」
%ANAME(TARGET)%は%ANAME(MASTER)%を抱き寄せ、鼻が触れ合いそうな距離まで近づけた	%ANAME(TARGET)%把%ANAME(MASTER)%抱过来，接近到可以相触鼻子的距离
「これなら、私の愛しい旦那様の顔もよく見えるな♥」	「这样的话，我亲爱的脸也能看得清清楚楚呢♥」
二人はしばし抱き合いながらイチャイチャした……	两个人拥抱在一起亲热了一阵……
「ああ、幸せだよ%ANAME(MASTER)%♥」	「啊啊，好幸福啊♥」
「この幸せを守るためなら、私はなんだってするからな…」	「为了守护这份幸福，我什么都会做…」
「…%ANAME(MASTER)%……私の愛しい人…♥」	「…%ANAME(MASTER)%……我的爱人…♥」
朝、やたら心地良い感触と香りに目が覚めると、%ANAME(TARGET)%が膝枕してくれていた	早上，被舒畅的触感和香味吵醒的时候，发现正枕在%ANAME(TARGET)%的膝盖上
さらには布団が剥ぎ取られ、代わりに九本の尻尾が布団代わりに%ANAME(MASTER)%の身体を包んでいた	更甚的是被子被剥掉了，取而代之的是九条尾巴代替被子包裹着%ANAME(MASTER)%的身体
「ふふ…おはよう%ANAME(MASTER)%…♥」	「呵呵…早上好，%ANAME(MASTER)%…♥」
返事を返したいところだが、九尾布団の極上の気持ち良さに夢心地となり、再び意識が夢にいざなわれる…	虽然很想回复，但是九尾被褥的极舒适感让人如梦一般，意识再次被梦乡所迷醉…
「私の尻尾布団、気持ち良いでしょう？　そこらの布団とはモノが違うぞ…♥」	「我的尾巴被子很舒服吧？和那些被子氪不一样呢…♥」
囁くような声とふわふわモフモフで暖かい尻尾に包まれ、%ANAME(MASTER)%の意識は夢の世界に旅立った…	轻声细语般的声音和轻飘飘的柔软尾巴包围着%ANAME(MASTER)%的意识出发去了梦的世界…
「あぁ、涎垂らしちゃって…。ちゅ…、そんなに気持ちいいんだな、嬉しい…♥」	「啊，流口水了…。fufu…真的那么舒服吗…感觉很开心呢…♥」
（……妾でも私は幸せだよ。…愛する%ANAME(MASTER)%と、こうして一緒にいられるのなら…♥）	（……即使是妾，我也很幸福。…如果能和爱着的%ANAME(MASTER)%这样在一起的话…♥）
…結局%ANAME(MASTER)%は、昼過ぎまで%ANAME(TARGET)%にたっぷり甘やかされてから今日の活動を開始した	…结果%ANAME(MASTER)%在过了中午之前被%ANAME(TARGET)%充分宠爱之后开始了今天的工作
「……私は紫様に、心から感謝しているよ」	「……我从心底里感谢紫大人」
%ANAME(TARGET)%は愛おしい目で%ANAME(MASTER)%を眺めながら語る	%ANAME(TARGET)%用爱恋的眼睛看着%ANAME(MASTER)%说道
「私は主のプログラム通りに動く式だ。本来、命令以外のことなどしない様にも出来たはずなんだ」	「我是服务于主人的式神。本来，除了命令以外的事情也应该不做的」
「それでも紫様は、私に自由な意思をくれた。誰かを愛し、それに応える心を与えてくれた」	「尽管如此，紫大人还是给了我自由的意志。能爱着谁，给予了我回应的【心】」
「だから%ANAME(MASTER)%とこうしていられる…。本当に感謝してもしきれない」	「所以能这样和%ANAME(MASTER)%在一起…。真是感激不尽」
%ANAME(TARGET)%は%ANAME(MASTER)%の腕を抱いて寄り添っている。その目はうっすら潤んでいるように見えた	%ANAME(TARGET)%抱着%ANAME(MASTER)%的手臂依偎在一起。那双眼睛看上去有些湿润
そんな彼女の頭を%ANAME(MASTER)%は優しく撫でた	%ANAME(MASTER)%温柔地抚摸着她的头
「…ありがとう、%ANAME(MASTER)%♥」	「…谢谢你，%ANAME(MASTER)%♥」
「ああ。いらっしゃい、%ANAME(MASTER)%」	「啊。欢迎，%ANAME(MASTER)%」
%ANAME(TARGET)%を訪ねると、彼女は%ANAME(MASTER)%の腕を取って抱きついてきた	去拜访%ANAME(TARGET)%时，她拿起%ANAME(MASTER)%的手腕紧紧地抱住了
「ふふ、いいじゃないか、これぐらい。もっと大胆なことをした仲だろう？　私たちは♥」	「fufu，这样不是挺好的吗？我们是做了更大胆的事了吧，不是么♥」
%ANAME(MASTER)%の耳元で色っぽく囁く彼女の顔には愉悦の色が浮かんでいた	在%ANAME(MASTER)%的耳边轻声细语着的她的脸上浮现出喜悦的色彩
待ち合わせ場所に既に%ANAME(TARGET)%が待っていた。心なしか顔が赤いような…	%ANAME(TARGET)%已经在约定的地方等待着。可能是心理作用吧，感觉脸都红了…
「私が身体を許すなんて、滅多にない事なんだぞ？」	「我以身相许，这种事是很难得的哦？」
「だからちゃんと責任、取っておくれよ」	「所以好好负起责任吧」
「あ…おはよう%ANAME(MASTER)%。会いたかったぞ♥」	「啊…早上好，%ANAME(MASTER)%。真想见你啊♥」
%ANAME(TARGET)%は%ANAME(MASTER)%を見つけると、笑顔で出迎えてくれた	%ANAME(TARGET)%发现%ANAME(MASTER)%时，笑着迎接了我
「おはよう%ANAME(MASTER)%。今日はいい天気だな」	「早上好%ANAME(MASTER)%。今天天气真好啊」
先日キスを交わしたはずだったが、%ANAME(TARGET)%は今までとあまり変わらない様子だ	我们前几天明明接吻过的，%ANAME(TARGET)%却和以前没什么变化的样子
「口付けくらい、そう騒ぐほどのことではないだろう？」	「只是一个吻，不至于那么吵闹吧？」
「……まぁ、誰にでも許すわけではないけどな」	「……嘛，虽然并不是谁都可以的」
（…私が思っていた以上に誠実な人なんだな……素敵だ…）	（…是一个比我想象中还要诚实的人啊……太棒了…）
%ANAME(TARGET)%は少し頬を染めながら%ANAME(MASTER)%のことをぽーっと見ている	%ANAME(TARGET)%的稍微染上了绯红了，看向了%ANAME(MASTER)%
「…%ANAME(MASTER)%……私の可愛い旦那様…♥」	「…%ANAME(MASTER)%……我心爱的丈夫…♥」
「私の尻尾布団、良いだろう？　そこらの布団とはモノが違うぞ…♥」	「我的尾巴被子舒服吗？和那边被子不一样哦…♥」
「あぁ、涎垂らしちゃって…。ちゅ…、そんなに気持ちいいんだな、嬉しいぞ…♥」	「啊，都流口水了…。咦…真的是那么舒服啊，好开心啊…♥」
「もうちょっと寝ていてもいいぞ。私がちゃんと見守っててあげるからな、%ANAME(MASTER)%…♥」	「可以再睡一会儿哦，%ANAME(MASTER)%。我会好好守护你的…♥」
「%ANAME(MASTER)%、おはよう。…ふふっ、私の旦那様は今日も素敵だな♥」	「%ANAME(MASTER)%、早上好。…fufu，我的丈夫今天也很帅啊♥」
%ANAME(TARGET)%は待ち合わせに現れた%ANAME(MASTER)%の顔を間近で見ながら蕩けた顔で微笑みかける	%ANAME(TARGET)%在约会时紧盯着%ANAME(MASTER)%的脸，沉醉于其中地微笑着
「あんまり素敵なもので、押し倒しそうになってしまったよ♥　ココが自宅じゃなくてよかったな」	「啊啦，差点就要推倒了♥差点忘了这可不在家里呢」
……むしろ残念なような気も……	……反而感觉很遗憾……
%ANAME(MASTER)%は待ち合わせ場所で待つ%ANAME(TARGET)%にちょっとした悪戯をすることにした	%ANAME(MASTER)%决定对在约会地点等待的%ANAME(TARGET)%稍微恶作剧一下
彼女の後ろからこっそり近づいて驚かそうとしたが近づいた途端、九本の尻尾に体を絡め取られてしまった	悄悄地从她后面靠近，想吓她一跳，但一靠近，身体就被九根尾巴缠住了
「ふっふっふっ、私が愛しい旦那様の気配に気付かないわけがないだろう？　%ANAME(MASTER)%♥」	「fufufu，我怎么可能不注意到心爱的夫君的行迹呢？%ANAME(MASTER)%♥」
%ANAME(MASTER)%はふわふわモフモフの尻尾に揉みくちゃにされて恍惚としてしまった	%ANAME(MASTER)%被软绵绵的尾巴抚摸得神情恍惚
「おはよう、旦那様♥　…ふふっ、朝からちょっと舞い上がってしまったな」	「早上好，夫君♥　…fufu，从早上开始就很期待了呢」
%ANAME(TARGET)%は待ち合わせに現れた%ANAME(MASTER)%に微笑みかけながら、お弁当を手渡してきた	%ANAME(TARGET)%一边微笑着面对来约会的%ANAME(MASTER)%，一边递出了便当
「もし朝ごはんを食べてなかったら、これでも食べてくれ。もう食べてたらお昼ご飯にしてくれてもいいぞ」	「如果你没吃早饭的话，就吃这个吧。已经吃了的话可以给当做午饭哦」
…慌てて朝飯を抜いて来たから、とても助かります…	…因为匆匆忙忙忙地而没吃早饭，真是帮了我大忙了…
「ああ、おはよう、%ANAME(MASTER)%……。うん、元気が出たよ」	「啊，早上好，%ANAME(MASTER)%……。嗯，打起精神来了」
%ANAME(TARGET)%は最初なにやら不安そうな顔だったが、%ANAME(MASTER)%の姿を見ると表情が明るくなった	%ANAME(TARGET)%最初是一副不安的表情，但是一看到%ANAME(MASTER)%表情就变得明朗起来了
「どうしたって？　いや、その…昨日、ちょっと怖い夢を見て…%ANAME(MASTER)%が無事で良かった…」	「怎么了？不，那个…昨天做了个有点恐怖的梦…%ANAME(MASTER)%平安无事真是太好了…」
%ANAME(TARGET)%は%ANAME(MASTER)%の腕を抱くように寄り添ってきた。仄かに頬が染まっていた	%ANAME(TARGET)%抱着%ANAME(MASTER)%的手臂靠了过来，脸上染上了绯红
「ふふ♪　今日も良く来てくれたな。嬉しいよ%ANAME(MASTER)%♥」	「fufu♪今天你也来了呢。我很高兴哦♥」
「今日一日、%ANAME(MASTER)%の時間を私におくれ。愛しい旦那様と過ごす時間が、私にとってとても幸せな時間なんだ…♥」	「今天一天，把%ANAME(MASTER)%的时间交给我。和心爱的夫君一起度过的时间，对我来说是非常幸福的时间…♥」
「おはよう、%ANAME(MASTER)%。…ふふっ、もう%ANAME(MASTER)%の顔を見ないと駄目な身体になってしまったよ」	「早上好，%ANAME(MASTER)%。…fufu，已经变成了看不到%ANAME(MASTER)%的脸就不行的身体了呢」
「だから責任を取って、私の瞳に旦那様の素敵な顔を焼き付けておくれ？　…くすっ、ああもう可愛いなぁ%ANAME(MASTER)%は♥」	「所以，请你负起责任，在我的眼睛里印上夫君那张漂亮的脸吧？　…啊，真可爱啊%ANAME(MASTER)%♥」
%ANAME(TARGET)%は幸せそうに頬を緩ませながら%ANAME(MASTER)%に微笑みかけてきた	%ANAME(TARGET)%幸福地放松着脸颊，对%ANAME(MASTER)%微笑着
「ああ、%ANAME(MASTER)%、おはよう♥　今日も気持ちいい天気だな」	「啊，%ANAME(MASTER)%，早上好♥今天天气也很好啊」
%ANAME(TARGET)%は慈しむような表情で%ANAME(MASTER)%に微笑みかけた	%ANAME(TARGET)%带着慈祥的表情对%ANAME(MASTER)%微笑着
「あ、今出るところか？　おはよう、%ANAME(MASTER)%♥」	「啊，现在正要出去吗？早上好，%ANAME(MASTER)%♥」
%ANAME(TARGET)%との待ち合わせに向かうところだったが、部屋を出たとたん%ANAME(TARGET)%と鉢合わせた	正要和%ANAME(TARGET)%约会的时候，一出房间就碰上了%ANAME(TARGET)%
「今日はちょっと早く起きてしまってな。無性に%ANAME(MASTER)%の顔が見たくなって、つい来てしまったよ…」	「今天起得有点早呢。因为非常想看到%ANAME(MASTER)%的脸，所以不知不觉就来了…」
口元を袖で隠しながら、少し恥ずかしそうに言う%ANAME(TARGET)%。後ろでは九本の尻尾が嬉しそうに揺れている	%ANAME(TARGET)%一边用袖子遮住嘴角，一边害羞地说。后面九根尾巴高兴地摇着
そのいじらしい様に自然と笑みがこぼれる。待たせるのも悪いからすぐに行こう	看着她那可爱的样子自然地露出了笑容。让她等着也不好，马上出发吧
「ふふっ♪ありがとう。急かすようで悪いが、とても嬉しいよ」	「呵呵♪谢谢。虽然像催促你似地感觉不好意思，但是我很开心」
「さあ、今日は何をしたい？　何でも言ってくれていいぞ%ANAME(MASTER)%♥」	「那么，今天想做什么？什么都可以说哦%ANAME(MASTER)%♥」
トントントン……	吨吨吨……
かすかに響く包丁の音と、鼻腔をくすぐる良い匂いで%ANAME(MASTER)%は目が覚めた	因为微弱回响的菜刀的声音和能勾起鼻腔的香味，%ANAME(MASTER)%醒来了
「あ、起きたか？　おはよう、%ANAME(MASTER)%♥」	「啊，起来了吗？早上好，%ANAME(MASTER)%♥」
いつの間にか、%ANAME(TARGET)%が上がりこんで朝食を用意してくれていた	不知什么时候，%ANAME(TARGET)%已经进来给我准备了早餐
「ちゃんと朝ごはんを食べて、元気に一日を始めようか」	「好好吃早饭，精神饱满地开始一天吧」
「おはよう%ANAME(MASTER)%♥　来てくれありがとう、とても嬉しいよ♥」	「早上好%ANAME(MASTER)%♥谢谢你能来，我很高兴哦♥」
%ANAME(TARGET)%はとびきり上機嫌な様子で%ANAME(MASTER)%を出迎えてくれた	%ANAME(TARGET)%高兴地迎接了%ANAME(MASTER)%
「ああ、%ANAME(MASTER)%。こっちだよーっ♪」	「啊，%ANAME(MASTER)%。在这边哦♪」
%ANAME(TARGET)%は%ANAME(MASTER)%を手と尻尾を勢い良く振って出迎えてくれた	%ANAME(TARGET)%用力挥着手和尾巴迎接了%ANAME(MASTER)%
「ふふ♪　今日は良く来てくれたな%ANAME(MASTER)%」	「呵呵♪今天你能来真是太好了」
「今日一日、私に付き合っておくれ。%ANAME(MASTER)%といる時間が、私にとってとても大事な時間なんだ…♥」	「今天一天，请陪着我。和%ANAME(MASTER)%在一起的时间，对我来说是非常重要的时间…♥」
「おはよう、%ANAME(MASTER)%。…ふふっ、最近は%ANAME(MASTER)%の顔を見ないと調子が出ないようになってしまったよ」	「早上好，%ANAME(MASTER)%。…呵呵，最近不看%ANAME(MASTER)%的脸的话就提不起劲了呢」
「だから責任を取って、私の瞳にお前の顔を焼き付けておくれ？　…くすっ、困った顔も可愛いな%ANAME(MASTER)%は♥」	「所以请负起责任，把你的脸印在我的眼睛里？　…呃，困惑的表情也很可爱哦，%ANAME(MASTER)%♥」
%ANAME(TARGET)%は悪戯っぽく%ANAME(MASTER)%に微笑みかけてきた	%ANAME(TARGET)%恶作剧般地向%ANAME(MASTER)%微笑着
「ああ、起こしてしまったか？　すまないな」	「啊，把你吵醒了吗?对不起啊」
いつの間にか部屋に%ANAME(TARGET)%が上がりこんでおり、朝食を用意してくれていた	不知什么时候%ANAME(TARGET)%进了房间里，为我准备了早餐
「私に会いに来てくれたのか？　ふふっありがとう、嬉しいよ♥」	「你来看我了吗?fufu，谢谢你，我很高兴♥」
%ANAME(TARGET)%は嬉しそうに%ANAME(MASTER)%に寄り添ってきた	%ANAME(TARGET)%很高兴地靠近了%ANAME(MASTER)%
%ANAME(TARGET)%との待ち合わせ場所で待っていると、背後から毛のようなものでくすぐられた	在和%ANAME(TARGET)%约会的地方等着的时候，从背后被毛一样的东西弄得痒痒的
%ANAME(MASTER)%が変な声を上げて振り向くと、尻尾でくすぐってきた%ANAME(TARGET)%の姿があった	%ANAME(MASTER)%发出奇怪的声音回头一看，看到了用尾巴挠起痒痒来的%ANAME(TARGET)%的身影
「ふふっ、すまない%ANAME(MASTER)%♥　ちょっとからかってみたくなって」	「呵呵，对不起%ANAME(MASTER)%♥ 我想稍微捉弄你下」
%ANAME(MASTER)%は、悪戯で屈託無く笑う%ANAME(TARGET)%の笑顔にドキっとした	%ANAME(MASTER)%被恶作剧中毫不做作地笑着的%ANAME(TARGET)%的笑容所打动
「ふふ、おはよう%ANAME(MASTER)%。来てくれてありがとう、会いたかったぞ♥」	「呵呵，早上好%ANAME(MASTER)%。谢谢你能来，我正想见你♥」
%ANAME(TARGET)%は%ANAME(MASTER)%を見つけると、頬を染めながら笑顔で出迎えてくれた	%ANAME(TARGET)%看到了%ANAME(MASTER)%，脸上泛着笑容迎接了我
「ああ、%ANAME(MASTER)%。こっちだぞーっ」	「啊，%ANAME(MASTER)%。在这边哦」
%ANAME(TARGET)%は%ANAME(MASTER)%を手を振って出迎えてくれた	%ANAME(TARGET)%挥手迎接了%ANAME(MASTER)%
