「っ！！　…………ほ、本気か？　%ANAME(MASTER)%……」	「！！…………这是...真的吗？%ANAME(MASTER)%……」
「愛しい旦那様…今日も%ANAME(TARGET)%が、いっぱい気持ちよくしてあげる♥」	「亲爱的夫君大人…今天由%ANAME(TARGET)%来、让你感受快乐吧♥」
「今回は私が脱がしてあげよう。さ、力を抜いてバンザイして…」	「这次由我来帮你脱掉吧。那么，就来放松一下吧…」
%ANAME(TARGET)%は%ANAME(MASTER)%の服を手を掛ける。脱がしに掛かる手つきが艶かしい	%ANAME(TARGET)%将手放在%ANAME(MASTER)%的领口，用妖艳的手法脱着衣服
「ふふ、もうビンビンだ……コレで今から私を愛してくれるんだな♥」	「fufu、已经硬邦邦的呢……今天就用这个好好爱我吧♥」
%ANAME(TARGET)%は蕩けた表情で%ANAME(MASTER)%の肉棒を手に取り撫でている…	%ANAME(TARGET)%一脸妩媚地拿着%ANAME(MASTER)%的肉棒，温柔地套弄着...
「はぁ…愛しい旦那様のコレ…触ってるだけでも幸せだよ♥」	「哈啊…夫君大人的那个…光是触碰着就觉得幸福了呢♥」
「あん♥…ふふ、そんなに焦らなくとも私は%ANAME(MASTER)%だけのものだよ…♥」	「啊♥…fufu、不要这么心急，我是属于%ANAME(MASTER)%的呢…♥」
%ANAME(TARGET)%が服を脱ぐたび、彼女の美しい肢体が露わになり%ANAME(MASTER)%の目を釘付けにする	每当%ANAME(TARGET)%脱下衣服，她那美艳的身子就会露出来，%ANAME(MASTER)%目不转睛地盯着那充满魅力的胴体
「さぁ、旦那様…今夜も私を愛して♥」	「那么、夫君大人…今晚...也好好爱我吧♥」
「あ…もう待ちきれないか？」	「啊…已经等不及了吗？」
「ふふ、待たせてしまってすまない。私の身体でいっぱい気持ちよくしてあげるからな♥」	「fufu、让你久等了。我会用我的身体让你感受快乐的~♥」
「もう%ANAME(MASTER)%に触れていないと落ち着かない身体になってしまったんだ」	「不触及%ANAME(MASTER)%的话身体就无法平静了呢」
「%ANAME(MASTER)%…。今日も私を、幸せにしておくれ…♥」	「%ANAME(MASTER)%…。今天也...好好宠幸我吧…♥」
%ANAME(TARGET)%は服を脱ぐと、蕩けた表情で%ANAME(MASTER)%に抱きついた	%ANAME(TARGET)%脱下了衣服、一脸妩媚地抱着%ANAME(MASTER)%
「%ANAME(MASTER)%に抱かれると、幸せを感じるんだ♥」	「被%ANAME(MASTER)%抱的话，会觉得幸福呢♥」
「あっ…もう我慢できないか？　ふふっ、私もなんだ♥」	「啊…已经忍耐不住了吗？fufu，我也是呢♥」
「愛しい%ANAME(MASTER)%…今日もいっぱい、気持ちよくしてあげるからな♥」	「亲爱的%ANAME(MASTER)%桑…今天也要好好地...舒服起来哦♥」
「ふふ、もうビンビンだ……これで今から私を愛してくれるんだな♥」	「fufu、已经硬邦邦的呢……今天就用这个好好爱我吧♥」
%ANAME(TARGET)%は蕩けた表情で%ANAME(MASTER)%の肉棒に頬ずりしている…	%ANAME(TARGET)%一脸妩媚地亲着%ANAME(MASTER)%的肉棒...
「あん…ふふ、そんなに焦らなくとも私は%ANAME(MASTER)%のモノだよ…♥」	「啊♥…fufu、不要这么心急，我可是属于%ANAME(MASTER)%的…♥」
「さぁ、%ANAME(MASTER)%…私を愛して♥」	「那么、%ANAME(MASTER)%…爱我吧~♥」
「ん…もう待ちきれないか？」	「嗯…已经等不及了吗？」
「ふふ、いいぞ…私の身体、存分に味わってくれ♥」	「fufu、好吧…我的身子、尽情地享用吧♥」
%ANAME(TARGET)%は服を脱ぐと、%ANAME(MASTER)%に抱きつく	%ANAME(TARGET)%脱下了衣服、抱住了%ANAME(MASTER)%
「%ANAME(MASTER)%に抱かれると、安心できて好きなんだ…」	「被%ANAME(MASTER)%抱的话，会变得安心了呢…」
「今日も私を愛しておくれ…」	「今天也请爱我吧…」
%ANAME(TARGET)%は服を脱ぐと、笑顔で%ANAME(MASTER)%に抱きついた	%ANAME(TARGET)%脱下衣服，笑着抱住了%ANAME(MASTER)%
「今日も私を気持ちよくしておくれ」	「今天也让我好好舒服起来哦」
「あっ…もう我慢できないか？　ふふっ、私もだ♥」	「啊…已经忍耐不了了吗？fufu、我也是哦♥」
「今日もいっぱい、気持ちよくしてあげるからな♥」	「今天也会让你好好舒服起来的♥」
「今回は私が脱がしてやろう。さ、力を抜いてバンザイして…」	「这次由我来帮你脱掉吧。那么，就放松一下吧…」
「ふふ、ここはもうはちきれそうだな……今楽にしてあげるからな…♥」	「fufu、这里已经肿得难受了吧…马上就让你轻松起来哦…♥」
%ANAME(TARGET)%は期待に満ちた眼で%ANAME(MASTER)%の下着を脱がしていく…	%ANAME(TARGET)%用充满期待的眼眸脱掉了%ANAME(MASTER)%的内衣…
「あん…ふふ、そんなに焦らなくとも大丈夫だよ…♥」	「啊…呵呵，不用那么着急也没关系的…♥」
「ふふ…さぁ、抱いておくれ♥」	「fufu…来、抱我吧♥」
「あっ……もう、そんなに私を抱きたいのか？　まったく仕方ないやつだ…」	「啊……你已经那么想抱我了吗？真是个没办法的家伙…」
「%ANAME(MASTER)%。ちょっと…」	「%ANAME(MASTER)%。稍微过来下…」
デート中、%ANAME(MASTER)%は%ANAME(TARGET)%に呼び止められた	约会中，%ANAME(MASTER)%被%ANAME(TARGET)%叫住了
何かと思って振り向くと、不意打ちのように%ANAME(TARGET)%に口付けされた	想着是有什么事的时候、突然被%ANAME(TARGET)%吻了
いきなりの大胆行動に、すこし慌ててしまう	对于这突然的大胆行动，吃了一惊
「…ふふ、けっこう可愛い反応するんだな。また一つ、%ANAME(MASTER)%のことが分かったよ」	「…fufu，真是可爱的反应呢。又发现了一个%ANAME(MASTER)%有趣的地方呢」
「なあ、%ANAME(MASTER)%。少し話があるんだ…聞いてくれないか？」	「啊，%ANAME(MASTER)%。有点事想说…可以打扰下吗？」
デートの帰り、%ANAME(MASTER)%は%ANAME(TARGET)%に呼び止められた	约会结束后，%ANAME(MASTER)%被%ANAME(TARGET)%叫住了
%ANAME(TARGET)%の頬はやや赤くなっていたが、とても真剣な眼差しで%ANAME(MASTER)%に話しかける	%ANAME(TARGET)%的脸颊微红，但是用非常认真的眼神对%ANAME(MASTER)%说道
「そ、その、なんだ、……近頃、%ANAME(MASTER)%と一緒にいるとな？」	「那个、那什么……最近...和%ANAME(MASTER)%在一起」
「すごく胸がドキドキするというか、もやもやするというか…、でも嫌な気分じゃなくて」	「真的是心跳不已呢，还是朦胧的感觉呢…但是并不是那种讨厌的心情」
「会ってない時にも、お前のことを考えてて、ずっと頭から離れないんだ…」	「即使没有见面，也会想着你，一直在脑海里挥之不去…」
「…多分私は、%ANAME(MASTER)%に…恋を、している……のだと思う…」	「…大概是、对%ANAME(MASTER)%桑…恋爱了吧……我想是这样的…」
「…私はお前のことが…好き…だ…」	「…我对你…那个...喜…喜欢哦…」
「……お前の気持ちを、聞かせて欲しい……」	「……我想听听...你的感受呢……」
%ANAME(TARGET)%は顔を真っ赤にして俯き、返事を待っている。%ANAME(MASTER)%は…	%ANAME(TARGET)%满脸通红、低着头等待着回复。%ANAME(MASTER)%是…
「…嬉しいよ…%ANAME(MASTER)%からその言葉を聞けて…っ！」	「…好开心…从%ANAME(MASTER)%那听到这句话…嘻嘻！」
そう言うと%ANAME(TARGET)%は%ANAME(MASTER)%を強く抱きしめた。その目にはうっすらと涙が浮かんでいた	这样说着，%ANAME(TARGET)%紧紧地抱住了%ANAME(MASTER)%，梨花带雨地笑着
「っ勇気を出して良かった……！　%ANAME(MASTER)%、これからも私と一緒にいておくれ…♥」	「能拿出勇气真是太好了……！　%ANAME(MASTER)%、今后也请和我在一起…♥」
「…！！　……そ、そうか…」	「…！！　……是、是吗…」
%ANAME(TARGET)%は顔を上げて%ANAME(MASTER)%の返事を聞くと、再び俯いた	%ANAME(TARGET)%抬起头听了%ANAME(MASTER)%的回复后，又垂下了头
「…すまない…変なことを聞いてしまって……っ…っ」	「…对不起…让你听到奇怪的事了……嗯…呜」
水滴が地面を濡らす。俯いた顔から涙が零れていた	地面上湿润了。是她低着头脸上垂下的眼泪
「…このことは忘れてくれ…すまなかった…」	「…请忘记这件事吧…对不起…」
%ANAME(TARGET)%は最後まで顔を上げることが出来なかった…	%ANAME(TARGET)%直到最后都没能抬起头来…
%ANAME(TARGET)%は%ANAME(MASTER)%をいきなり押し倒してきた。	%ANAME(TARGET)%突然把%ANAME(MASTER)%推倒了。
「…何だか%ANAME(MASTER)%といると、やらしい思いがこみ上げてくるんだ…」	「…总觉得和%ANAME(MASTER)%在一起的话，会有中不妙的冲动涌上来…」
%ANAME(TARGET)%は押し倒した%ANAME(MASTER)%の腰に跨り、服を脱ぎ始めた	%ANAME(TARGET)%跨在推倒的%ANAME(MASTER)%的腰上，开始脱着衣服
「…なぁ、%ANAME(MASTER)%…私とシよう♥」	「…啊，%ANAME(MASTER)%…和我一起♥」
%ANAME(TARGET)%はそう言いながら%ANAME(MASTER)%の服を脱がし始めた…	%ANAME(TARGET)%一边这样说着一边开始脱下%ANAME(MASTER)%的衣服…
赤ら顔の%ANAME(TARGET)%は%ANAME(MASTER)%をいきなり押し倒してきた。	红着脸的%ANAME(TARGET)%突然推倒了%ANAME(MASTER)%。
「…何だか今日は、いやらしい気持ちが湧き上がって来るんだ…」	「…总觉得今天有种不妙的冲动涌了上来…」
「…すまない、%ANAME(MASTER)%。もう我慢できない…」	「…抱歉，%ANAME(MASTER)%。我已经忍不住了…」
%ANAME(TARGET)%は%ANAME(MASTER)%を優しく押し倒した！	%ANAME(TARGET)%温柔地推倒了%ANAME(MASTER)%！
「はしたない妻でごめんな…でも、もう%ANAME(MASTER)%のが欲しくて堪らないんだ！」	「对不起，我是这样粗野的妻子…但是，我已经非常想要%ANAME(MASTER)%的了！」
%ANAME(TARGET)%は%ANAME(MASTER)%の服を脱がせながら丁寧に全身を愛撫していく。	%ANAME(TARGET)%一边脱下%ANAME(MASTER)%的衣服一边细心地爱抚着全身。
「力を抜いて…大丈夫。いっぱいキモチよくしてあげるから……」	「请放松…没关系的。我会让你舒服起来的……」
「さあ……旦那様の愛を、私にいっぱい注いでおくれ♥」	「那么，请把夫君大人的爱...倾注到我身上吧♥」
%ANAME(TARGET)%は%ANAME(MASTER)%を押し倒して腰に跨ってきた	%ANAME(TARGET)%推倒%ANAME(MASTER)%跨坐在腰上
「%ANAME(MASTER)%？　これでお仕舞いなんて、ないじゃないか…♥」	「%ANAME(MASTER)%？ 这样的话，就没办法逃走了吧…♥」
%ANAME(TARGET)%は服を脱ぎ、露わになった乳房を%ANAME(MASTER)%に見せ付ける	%ANAME(TARGET)%将衣服敞开、露出了乳房给%ANAME(MASTER)%看
「ねぇ見て…私の乳首、もうビンビン……♥」	「呐…看我的乳头、已经硬起来了呢……♥」
「愛しい旦那様に、吸ってもらいたくて…堪らないからだよ」	「想和亲爱的夫君大人结合…想地受不了了呢」
「だから、ね……シよう♥」	「所以呢...呐……做吧♥」
これからの行為を期待して、%ANAME(TARGET)%の表情はさらに淫らに蕩ける……	期待着接下来的行为、%ANAME(TARGET)%的神情愈发妖媚着……
%ANAME(TARGET)%は%ANAME(MASTER)%を押し倒して顔と顔を付き合わせる	%ANAME(TARGET)%把%ANAME(MASTER)%推倒把脸贴了上去
「ふふ♥　旦那様、どこへ行くんだい？　夫婦の夜はまだこれからだぞ♥」	「fufu♥　夫君大人、你想去哪呢？　夫妻之夜还长着呢♥」
%ANAME(TARGET)%は自らの乳房をぐいぐい押し当てて%ANAME(MASTER)%を誘惑している	%ANAME(TARGET)%使劲按着自己的乳房诱惑着%ANAME(MASTER)%
「%ANAME(MASTER)%といると、身体が幸せを求めて疼いて来るんだ…♥」	「和%ANAME(MASTER)%在一起呢、身体就为了索求幸福而呻吟着呢…♥」
%ANAME(TARGET)%は艶かしく服を脱ぎ、%ANAME(MASTER)%の股間を撫で上げる	%ANAME(TARGET)%艳丽地脱掉衣服，抚摸着%ANAME(MASTER)%的胯间
「だから%ANAME(MASTER)%のコレで、私をもっと幸せにしてぇ♥」	「所以啊...用%ANAME(MASTER)%的这个、让我幸福起来吧~♥」
「…%ANAME(MASTER)%といると、身体がすごく疼いて…とてもいやらしい気分になる…♥」	「…和%ANAME(MASTER)%在一起的话、身体会觉得苦闷…感觉很焦躁…♥」
%ANAME(TARGET)%は%ANAME(MASTER)%に、豊満な胸を押し当てるように押し倒す	%ANAME(TARGET)%把丰满的胸部压在%ANAME(MASTER)%身上
「ほら見て…私のここ、%ANAME(MASTER)%のが欲しくて泣いてる……」	「看吧…我的这里、想要%ANAME(MASTER)%的咕噜咕噜地淌着……」
%ANAME(TARGET)%は%ANAME(MASTER)%に自らの蜜を滴らせる秘所を見せ付け性交をねだっている	%ANAME(TARGET)%向%ANAME(MASTER)%展示着那蜜汁横流的期待着性交的秘处
「このいやらしい妻のココを、旦那様ので慰めておくれ…♥」	「我这不像样的妻子、夫君大人好好抚慰我吧…♥」
「なぁ、%ANAME(MASTER)%」	「呐，%ANAME(MASTER)%」
%ANAME(MASTER)%は%ANAME(TARGET)%の呼びかけに振り向くと、グイっと引っ張りこまれた	%ANAME(MASTER)%被%ANAME(TARGET)%的呼声所唤而转过头时、被拉了过去
強く引っ張られたため、あたかも%ANAME(MASTER)%が%ANAME(TARGET)%を押し倒したような体勢になった	因为强力地拉扯，二人的姿势就像%ANAME(MASTER)%推到了%ANAME(TARGET)%一样
「…エッチ、しよう♥」	「…呐、做吧♥」
%ANAME(TARGET)%は%ANAME(MASTER)%の首元に手を回し、頭を豊満な胸で抱き包みながら色っぽく囁く	%ANAME(TARGET)%的手环抱过%ANAME(MASTER)%脖子、将丰满的胸部裹住了头妖媚地私语道
「今日は夫婦で…果てるまでシよう♥」	「今天的夫妇时刻…进行到最后吧♥」
「…すまない、%ANAME(MASTER)%。もう我慢できない」	「…对不起、%ANAME(MASTER)%。我已经忍不住了…」
%ANAME(TARGET)%は%ANAME(MASTER)%を押し倒した！	%ANAME(TARGET)%推倒了%ANAME(MASTER)%！
「はしたなくてごめんな…でも、%ANAME(MASTER)%のが欲しくて堪らないんだ」	「不好意思我太粗鲁了…但是，已经非常想要%ANAME(MASTER)%了」
「さあ、力を抜いて…大丈夫。キモチよくしてあげるから……」	「请放松…没关系的。我会让你舒服起来的……」
「お前の愛を、私に注いでくれ♥」	「把你的爱，倾注到我身上吧♥」
「…これでお仕舞いなんて、ないじゃないか…♥」	「…这样的话、就没法逃走了吧…♥」
「ほら見て…私の乳首、もうビンビンだ……♥」	「看吧…我的乳头已经硬起来了呢……♥」
「%ANAME(MASTER)%とシたくてシたくて…堪らないからだよ」	「想要和%ANAME(MASTER)%结合…想地受不了了呢」
「だから、な……シよう♥」	「所以呢...呐……做吧♥」
「ふふ♥　%ANAME(MASTER)%、どこへ行くんだ？　夜はまだこれからだぞ♥」	「fufu♥　%ANAME(MASTER)%、想去哪呢？　夜才刚开始呢♥」
「%ANAME(MASTER)%といると、身体が熱く疼いてたまらないんだ…♥」	「和%ANAME(MASTER)%在一起呢、身体就感觉苦闷骚动着呢…♥」
「だから責任を取って…、%ANAME(MASTER)%のコレで、鎮めておくれ♥」	「所以啊请负起责任...用%ANAME(MASTER)%的这个、将它填满吧♥♥」
「…お前といると、身体が疼いて…とてもいやらしい気分になる…♥」	「…和你在一起的话，身体会觉得苦闷…变得焦躁…♥」
「ほら見て…私のここ、%ANAME(MASTER)%のが欲しくて泣いてる……慰めてくれ♥」	「看吧…我这里，想要%ANAME(MASTER)%的咕噜咕噜地淌着呢……来安慰我吧♥」
「今日はお前に…犯されたいんだ♥」	「今天呐…想被你狠狠侵犯呢♥」
「…すまない、%ANAME(MASTER)%。今日は身体が昂ぶっていてな…」	「…对不起，%ANAME(MASTER)%。今天的身体兴奋过头了…」
「だから私と……セックス、しようか…♥」	「所以啊……和我...做爱吧…♥」
%ANAME(TARGET)%は%ANAME(MASTER)%を押し倒して身体に跨ってきた	%ANAME(TARGET)%推倒%ANAME(MASTER)%跨坐在身体上
「…これでお仕舞いなんて、嫌だぞ…」	「…就这样结束的话、真讨厌呢…」
「ほら、私のおっぱい好きにしていいから……%ANAME(MASTER)%、シよう♥」	「看、你可以尽情责弄我的欧派哦……%ANAME(MASTER)%、做吧♥」
これからの行為を期待して、%ANAME(TARGET)%の表情は蕩けている……	期待着接下来的行为、%ANAME(TARGET)%的表情荡漾着……
%ANAME(TARGET)%は%ANAME(MASTER)%を押し倒した。	%ANAME(TARGET)%把%ANAME(MASTER)%推倒了。
「…お前といると、身体が疼いて…やらしい気分になる」	「…和你在一起的时候，身体会苦闷…感觉很难受」
%ANAME(TARGET)%は%ANAME(MASTER)%に、豊満な胸を押し当てるように抱きつく	%ANAME(TARGET)%把丰满的胸部紧压在%ANAME(MASTER)%的怀里
「ほら…私のここ、寂しくて濡れてる……%ANAME(MASTER)%ので、慰めてくれ♥」	「看…我的这里、寂寞地湿了呢……所以呢%ANAME(MASTER)%，好好抚慰我吧♥」
%ANAME(TARGET)%は%ANAME(MASTER)%を押し倒してきた	%ANAME(TARGET)%把%ANAME(MASTER)%推倒了
「…エッチなこと、しようか♥」	「…来做涩涩的事情吧♥」
%ANAME(TARGET)%は%ANAME(MASTER)%の顔を豊満な胸で包みながら色っぽく囁く	%ANAME(TARGET)%用丰满的胸部包裹着%ANAME(MASTER)%的脸，妖媚地低声私语道
「今日はお前を…犯したい気分なんだ…♥」	「今天也要…好好地侵犯我哦…♥」
%ANAME(MASTER)%は%ANAME(TARGET)%の呼びかけに振り向くと、グイっと引っ張られた	%ANAME(MASTER)%被%ANAME(TARGET)%的呼声所唤而转过头时、被用力拉了过去
%ANAME(TARGET)%は%ANAME(MASTER)%の顔を乳房で包み込みながら妖しく囁く	%ANAME(TARGET)%用乳房裹住%ANAME(MASTER)%的脸，妖艳地低声私语
「ふふふっ♥」	「fufufuっ♥」
%ANAME(TARGET)%は怪しい笑みを浮かべながら%ANAME(MASTER)%を押し倒した	%ANAME(TARGET)%带着妖媚的笑容推倒了%ANAME(MASTER)%
「…お前といると、なぜか身体が疼いて…妙な気分になる」	「…和你在一起的时候，不知为何身体会苦闷…感觉很奇怪」
「…何だか今日は、とてもいい気分なんだ…」	「…总感觉今天...心情特别的好呢…」
「だからなぁ、%ANAME(MASTER)%……私とシておくれよ♥」	「所以啊，%ANAME(MASTER)%……和我在一起吧♥」
「な、なぁ%ANAME(MASTER)%。その…今日……シていかないか？」	「呐，%ANAME(MASTER)%。那个…今天……不走吗？」
%ANAME(TARGET)%は顔を赤くしながらも、豊満な胸を%ANAME(MASTER)%に押し付けておねだりしている…	%ANAME(TARGET)%满脸绯红、用丰满的胸部压着%ANAME(MASTER)%，索求着…
%ANAME(TARGET)%「さて…どうしたものか」	%ANAME(TARGET)%「嗯？…怎么了」
%ANAME(TARGET)%「…ちゃんと妖怪対策はしているか。何とか抜け出す方法はないものか…」	%ANAME(TARGET)%「…能好好地对付妖怪了吗?难道就没有摆脱的方法吗…」
%ANAME(TARGET)%「はぁ…%ANAME(MASTER)%の傍にいてやりたいというのに……」	%ANAME(TARGET)%「啊…明明想待在%ANAME(MASTER)%的身边……」
%ANAME(TARGET)%「朗報を期待していてくれ」	%ANAME(TARGET)%「期待您的好消息」
%ANAME(TARGET)%「%ANAME(MASTER)%、気をつけてな」	%ANAME(TARGET)%「%ANAME(MASTER)%、小心点啊」
%ANAME(TARGET)%「さて、出かけるか」	%ANAME(TARGET)%「PRINTFORML %ANAME(TARGET)%「那么、出发吧」
%ANAME(TARGET)%「早く乱世を終わらせないとな。……%ANAME(MASTER)%のためにも」	%ANAME(TARGET)%「必须早点结束乱世啊……为了%ANAME(MASTER)%」
%ANAME(TARGET)%「九尾の力を見せてやろう」	%ANAME(TARGET)%「让你看看九尾的力量吧」
%ANAME(TARGET)%「少しでも幻想郷をさっぱりさせんとな」	%ANAME(TARGET)%「哪怕是一点点也好，想让幻想乡清静一点啊」
%ANAME(TARGET)%「荒事は好きではないのだが……言ってられる世情でもないか」	%ANAME(TARGET)%「我实在不喜欢战斗……不过现在也不是就这样推辞的时候了吧」
%ANAME(TARGET)%「%ANAME(MASTER)%、危なくなったら私を呼ぶんだぞ」	%ANAME(TARGET)%「%ANAME(MASTER)%、危险的话必须叫我啊」
%ANAME(TARGET)%「今の時代にこんな乱世を生きるとはな…」	%ANAME(TARGET)%「没想到在这个时代会处于这样的乱世中…」
%ANAME(TARGET)%「%ANAME(MASTER)%、いってらっしゃい。危ないと思ったらすぐ逃げるんだぞ」	%ANAME(TARGET)%「%ANAME(MASTER)%、请慢走。一觉得危险就马上撤退」
%ANAME(TARGET)%「さて、行ってくるか」	%ANAME(TARGET)%「那么，我出发了」
%ANAME(TARGET)%「今の時代にこんな乱世が来るとはな…」	%ANAME(TARGET)%「没想到在这个时代竟然会有这样的乱世到来…」
%ANAME(TARGET)%「忙しいのはいつもの事だな」	%ANAME(TARGET)%「繁忙可是常有的事啊」
%ANAME(TARGET)%「何とか逃げ出せないものか…」	%ANAME(TARGET)%「看来怎么也逃不掉啊…」
%ANAME(TARGET)%「…九尾の身体が泣いてるな…」	%ANAME(TARGET)%「…九尾的身体在哭泣呢…」
%ANAME(TARGET)%「%ANAME(MASTER)%は無事だろうか。…くっ、私は何をやっているんだ……」	%ANAME(TARGET)%「%ANAME(MASTER)%「%ANAME(MASTER)%不会有事吧。…呜，我到底在做什么呢……」
%ANAME(TARGET)%「今回も無事、帰って来れたか」	%ANAME(TARGET)%「这次也平安无事地归来了呢」
%ANAME(TARGET)%「お疲れ様、%ANAME(MASTER)%。怪我は無かったか？」	%ANAME(TARGET)%「辛苦了，%ANAME(MASTER)%。没有受伤吧？」
%ANAME(TARGET)%「お帰り、%ANAME(MASTER)%。ご飯の支度は出来ているが食べていくか？」	%ANAME(TARGET)%「欢迎回来、%ANAME(MASTER)%。饭已经准备好了，要吃吗？」
