ようやく今日の分の仕事が終わった	今天的工作终于结束了
そのまま%ANAME(対象)%はスルスルと衣服を脱ぎ落とし、艶っぽい紫に綺麗な刺繍レースをあしらったベビードール姿になる	%ANAME(対象)%就这样脱下衣服，漏出带着紫色蕾丝边的情趣内衣
ピンっと張った乳首が透けて見え、下着の上からでも欲情しきっているのがわかるほどの愛液で蜜壺が濡れている……	可以看到她紧绷的乳头，透过被打湿的内衣也能看出秘穴因为情欲已经溢出的爱液
%ANAME(対象)%は%ANAME(MASTER)%の手を握り、濡れた蜜壺をなぞらせてきた	%ANAME(対象)%握着%ANAME(MASTER)%的手，伸向湿了的秘穴
ネットリとした愛液が%ANAME(MASTER)%の指と指の間でヌチャヌチャと音を立てて糸を引いている……	粘糊糊的爱液在%ANAME(MASTER)%的手指之间发出粘糊糊的声音还拉着丝……
「もう……こんなになっちゃったの♥　んちゅっ……♥」	「已经……变成这样了吗♥嗯……♥」
%ANAME(MASTER)%が勃起したのを見てとると、%ANAME(対象)%は互いの舌を交わらせる程の濃厚なキスをしてきた	看到%ANAME(MASTER)%勃起的时候，%ANAME(対象)%开始深吻并将舌头纠缠起来
「%ANAME(MASTER)%は動かなくていいわ♥」	「%ANAME(MASTER)%不要动呢♥」
皆が寝静まり始めた深夜、%ANAME(MASTER)%も寝ようとベッドに横になると隣に%ANAME(対象)%が横たわっていた	在大家开始安静入睡的深夜，%ANAME(MASTER)%也要睡了，躺在床上，旁边躺着一只%ANAME(対象)%
「ふふっ、今日も……ね♥」	「呵呵，今天也……对吧♥」
%ANAME(対象)%はすでに艶っぽい%SPLIT_RAND("紫/黒/赤/緑/青/白", 1)%に綺麗な刺繍レースをあしらった%SPLIT_RAND("ベビードール/オープンブラ/ビスチェ/スリップ", 1)%姿だ	%ANAME(対象)%穿上艳丽的带有漂亮刺绣花边的%SPLIT_RAND("紫/黒/赤/緑/青/白", 1)%色的%SPLIT_RAND("背带裙睡衣/开胸睡衣/紧身女胸衣/衬群", 1)%
ピンっと張った%SPLIT_RAND("乳首/クリトリス", 1)%が透けて見え、下着の上からでも欲情しきっているのがわかるほどの愛液で蜜壺が濡れている……	粉红稚嫩的%SPLIT_RAND("乳首/阴蒂", 1)%隐隐约约显露出来，透过内衣能明显看见秘穴已经被爱液打的透湿
%ANAME(対象)%は%ANAME(MASTER)%の背に手をまわし、身体を押し付けるように抱き着いてきた	%ANAME(対象)%把手环在%ANAME(MASTER)%背后并紧紧搂住，用身体紧紧贴在他的背上
「すぅーっ♥　はぁぁ♥　すぅーっ♥　はぁぁ♥」	「哇♥哈哈♥哇♥哈哈♥」
%ANAME(MASTER)%の耳の裏に鼻をあてて深呼吸をする%ANAME(対象)%、呼吸の度に身体をビクッと震わせている	将鼻子贴在%ANAME(MASTER)%耳后进行深呼吸的%ANAME(対象)%，每次呼吸都会全身颤抖
身体が震える度に%ANAME(MASTER)%のペニスはヌチャヌチャと音を立てて%ANAME(対象)%の濡れた蜜壺を摩っていく……	每当身体颤抖的时候，%ANAME(MASTER)%的阴茎就会发出粘糊糊的声音，摩擦着%ANAME(対象)%湿了的秘穴……
「だめ……我慢デキない♥　んちゅっ……♥」	「不行……忍耐不住了♥嗯~……♥」
「舌出して♥　ほら♥　んむっ♥　ちゅ、れろっ……♥」	「伸出舌头！♥瞧♥嗯，嗯♥啊~，等下……♥」
言われるまま舌を出すと、%ANAME(対象)%はその舌先に自らの舌先を絡ませ舌裏や天井まで舐める	再舌头纠缠后说完这句话，%ANAME(対象)%就开始把舌尖缠到对方的舌头，舔到舌低和嘴巴上表层
「あむっ……ぢゅるるるっ…んっ♥」	「啊……嗯…嗯♥」
%ANAME(対象)%は%ANAME(MASTER)%の舌を咥え、フェラチオをするように音を立てて吸い始める	%ANAME(対象)%叼着%ANAME(MASTER)%的舌头，然后发出如同口交一样的声音吸吮着
そのまま更に%ANAME(MASTER)%に抱きつきながら%ANAME(対象)%は淫らに首を動かす	%ANAME(対象)%就这样抱住%ANAME(MASTER)%，淫荡地摇晃着头
しばらくしてようやく%ANAME(対象)%は%ANAME(MASTER)%の舌から舌先を離した	过了一会儿，%ANAME(対象)%终于从%ANAME(MASTER)%的舌头上松开了嘴
互いの舌先は透明で粘っこい糸をつぅーと垂らし繋がっている……	彼此的舌头垂着透明而粘稠的线，连接在一起……
「はぁぁ♥　ねぇ……%ANAME(MASTER)%♥」	「哈哈♥呐……%ANAME(MASTER)%♥」
%ANAME(対象)%は%ANAME(MASTER)%のペニスを手で優しく愛撫しながら耳元で囁く	%ANAME(対象)%用手温柔地爱抚着%ANAME(MASTER)%的阴茎，在耳边轻声细语
「おちんちん♥　勃てて♥♥♥　いっぱいエッチしよ♥♥　気持ちよくなっちゃお♥♥♥」	「小鸡鸡♥又勃起了呢♥♥♥来继续做爱吧♥♥心情就会快乐了呢♥♥♥」
「好き♥　%ANAME(MASTER)%大好き♥♥　愛してる♥」	「喜欢♥最喜欢%ANAME(MASTER)%了♥♥我爱你♥」
「ほら触って♥♥　オマンコ♥　グッチョグチョなの♥　%ANAME(MASTER)%のおちんちん欲しいの♥♥♥」	「快操我♥♥阴穴~♥是个好男人♥我想要%ANAME(MASTER)%的小鸡鸡♥♥♥」
「気持ちよくなっちゃお♥　いっぱいエッチしちゃお♥」	「真快乐啊~♥做爱了很多次呢♥」
「孕ませて♥♥　いっぱい♥♥♥　気持ちよくして♥♥♥　ほら♥　おちんちん勃てて♥♥」	「让我孕育吧~♥♥满满的~♥♥♥心情舒畅起来~♥♥♥瞧♥小鸡鸡勃起了♥♥」
「エッチ♥♥　気持ち良～い♥♥　エッチしよ♥　ねっ♥♥♥」	「真色情呢~♥♥好快乐~♥♥来做爱吧~♥对吧♥♥♥」
「%ANAME(MASTER)%のおちんちんで♥♥　いっぱい突いて♥♥　いっぱい出して♥♥♥」	「被%ANAME(MASTER)%用小鸡~鸡♥♥戳得满满的~♥♥得到很多呢~♥♥♥」
「好き♥♥　好き♥♥　好き♥♥♥　エッチしたいの♥♥　%ANAME(MASTER)%♥♥♥　大好きっ♥♥♥」	「喜欢♥♥喜欢♥♥喜欢♥♥♥做爱啥的~♥♥%ANAME(MASTER)%♥♥♥最喜欢了~♥♥♥」
%ANAME(対象)%の囁きに%ANAME(MASTER)%が勃起すると、%ANAME(対象)%は互いの舌を交わらせる程の濃厚なキスをしてきた	%ANAME(MASTER)%在%ANAME(対象)%的耳语中勃起，%ANAME(対象)%开始深吻并纠缠彼此的舌头
%ANAME(対象)%は下着から乳首を露出させ%ANAME(MASTER)%の口元へ近付けた	%ANAME(対象)%从内衣露出乳头，靠近%ANAME(MASTER)%的嘴边
「ねぇ……吸って♥」	「呐……请吸着~♥」
%ANAME(MASTER)%は%ANAME(対象)%の淡いピンク色の乳輪に舌を這わせる…	%ANAME(MASTER)%让舌头舔上了%ANAME(対象)%淡粉色的乳晕上…
「もぅ……♥　……ふふっ♥」	「嗯……♥　……呵呵呵♥」
そのまま乳輪だけをねちっこく攻め続ける%ANAME(MASTER)%	%ANAME(MASTER)%就那样只盯着乳晕持续进攻
「んっ♥　……ふっー♥」	「嗯♥　……呼~♥」
既に%ANAME(対象)%の乳首はピンっと張り詰め、%ANAME(MASTER)%の舌先による愛撫への期待に満ちている…	%ANAME(対象)%的乳头已经紧紧地贴着，充满了对%ANAME(MASTER)%舌尖能爱抚的期待
切なげな声で呟いている%ANAME(対象)%	%ANAME(対象)%无法再忍受胸闷而呻吟起来
その姿を見て%ANAME(MASTER)%は乳輪ばかりを責めていた舌先を乳頭に移した	看到这个样子，%ANAME(MASTER)%将舔舐乳晕的舌头移到了乳头上
「あっ♥♥♥　そんな急に♥♥♥♥」	「啊~♥♥♥太突然~♥♥♥♥」
%ANAME(MASTER)%は乳頭を舌先で舐め絞ったり、舌先でちょっぴり触れさせた	%ANAME(MASTER)%用舌尖舔舐乳头，用舌尖稍微碰了一下
「あはっ♥……はっ…んっ……くあっ…♥」	「啊哈哈♥……啊…嗯……啊啊…♥」
そのたび%ANAME(対象)%は腰を浮かせ感じている…	每次%ANAME(対象)%都会挺起腰来…
そこへ%ANAME(MASTER)%は固くなった乳首を甘噛みしつつチュパチュパと音をたてて吸った	%ANAME(MASTER)%一边咬着变硬的乳头一边吧嗒吧嗒地吸着
「あぁん♥♥　そんな赤ちゃんみたいに♥♥」	「啊啊啊♥♥像婴儿样呢♥♥」
「ふふっ♥　良いですよ♥　おっぱい好きなのよね♥」	「呵呵呵♥好啊♥喜欢乳房吧♥」
%ANAME(MASTER)%が口を離すと、%ANAME(対象)%が互いの舌を交わらせる程の濃厚なキスをしてきた	当%ANAME(MASTER)%松口的时候，%ANAME(対象)%吻住了彼此的舌头
「私に任せて♥　いっぱい気持ち良くしてあげる♥♥」	「交给我吧♥让你快乐起来~♥♥」
「バキバキに勃起した孕ませおちんちん♥　私のねっ…とりオマンコでドピュ♥ドピュ♥させてあげる」	「用勃起的小鸡鸡让我怀孕吧~♥就这样…直接射在里面♥biubiubiu~地♥我会让你尽情地射的~」
「好き♥　いっぱい愛し合いましょ♥　と～っても濃厚な種付け孕ませセックスしましょ♥」	「喜欢吧♥那让我们好好地感受相爱的快感吧♥话虽如此也别忘要进行浓厚的配种做爱哦~♥」
「えっちしましょ♥　気持ちいいえっち♥」	「让我看看♥好舒服啊~♥」
「ふふっ♥　危険日子宮でおちんちんジュポジュポさせてあげる♥♥♥」	「呵呵呵♥在正处于危险日的我的子宫给咕噜咕噜地灌满吧♥♥♥」
%ANAME(対象)%は%ANAME(MASTER)%のペニスを手に取りしごき始めた	%ANAME(対象)%开始拿起%ANAME(MASTER)%的阴茎
「ふふっ、手の中でびくんびくんしてる♥」	「哼哼，还在我手中扑哧扑哧地响呢♥」
丹念にペニスをしごいていく%ANAME(対象)%	专心地撸阴茎的%ANAME(対象)%
右手でペニスをしごきながら左手で袋を優しい手つきで触っている	右手捋着阴茎，左手摸着睾丸
強すぎず弱すぎず、程よい%ANAME(対象)%の奉仕に%ANAME(MASTER)%は徐々に射精へと向かっていく	不太强也不太弱，%ANAME(対象)%用适当的力量来的侍奉使%ANAME(MASTER)%射精
「射精したくなったら……♥　いつでもしていいわ♥　受け止めてあげる♥」	「如果想射精的话……♥随时都可以♥我会接住的~♥」
「ふふっ♥　ビクビクしちゃって可愛いわね……えいっ♥」	「呵呵呵♥战战兢兢的好可爱啊……嗯，嗯♥」
ぴんっと指で軽くペニスを弾く	用手指轻轻地弹阴茎
痺れる様な快感に思わず%ANAME(MASTER)%は仰け反る	%ANAME(MASTER)%因为麻痹般的快感，不受控制地仰起了头
「あらっ♥　ちょっと痛かったかしら♥　んっー……そうでもないようね♥」	「哎呀♥有点疼吗♥嗯……不是那样的吧♥」
そう言って%ANAME(対象)%は手の動きを再開させた	这样说着，%ANAME(対象)%又开始动手撸
「ふふっ♥　随分と大きな子供になっちゃったわねぇ……♥」	「呵呵呵♥变成了相当大的孩子呢……♥」
%ANAME(MASTER)%は%ANAME(対象)%の太ももに顔を乗せ、彼女の胸を弄っている	%ANAME(MASTER)%把脸贴在%ANAME(対象)%的大腿上，玩弄着她的胸部
一方で慈愛の表情を浮かべながら丹念に竿をしごいていく%ANAME(対象)%	%ANAME(対象)%一边浮现出慈爱的表情，一边细心地撸着阴茎
「射精したくなったら♥　いつでもしていいわ♥　受け止めてあげる♥」	「想要射精的话♥随时都可以♥我会接住的♥」
%ANAME(MASTER)%はそのまま%ANAME(対象)%の手に射精した	%ANAME(MASTER)%就那样射精在%ANAME(対象)%的手中
「あーあー、手のひらがドロドロですねぇ♥」	「啊啊，手掌好粘啊♥」
手や顔にかかった精液を%ANAME(対象)%は奇麗に舐めとっていく。	%ANAME(対象)%把手和脸上的精液舔个精光。
もう味にも慣れてしまったのか、表情には欲情の色が窺えた…	大概已经习惯了味道吧，从表情上可以看出渴求的面色…
「底無しですね……♥」	「真是射不尽啊……♥」
%ANAME(対象)%は、射精直後にも関わらず手の中で再び固くなり始めた%ANAME(MASTER)%の陰茎を惚けながら眺めている……	%ANAME(対象)%一边欣赏着刚射精不久又开始变硬的%ANAME(MASTER)%的阴茎一边眺望着……
「…ぁ……あはっ♥」	「…啊……啊哈哈♥」
%ANAME(対象)%は飛び出した精液を片手で受け止め、掌には一杯の精液で出来た水たまりが完成する	%ANAME(対象)%用一只手接住飞出的精液，用一杯精液形成的水洼完成了
それを%ANAME(対象)%は一気に飲み干し、残った分を奇麗に舐めとっていった	%ANAME(対象)%一口气喝干了，把剩下的部分干净地舔了下去
それでも足りないのか上目遣いで手淫しながら、物欲しそうに次の射精を強請った…	尽管如此还是不够吧，一边用眼睛向上看，一边手淫，一边贪婪地请求下一次射精…
「…ふふっ……♥」	「…呵呵……♥」
手や顔を奇麗に掃除した後、%ANAME(対象)%はペニスを扱いて残り汁を舐めとる	把手和脸上的精液清洁干净后，%ANAME(対象)%舔阴茎剩下的汁液
未だに勃起する%ANAME(MASTER)%の肉棒を見て、その逞しさに見惚れていた…	看到还勃起的%ANAME(MASTER)%的肉棒，对她的坚强无比着迷…
%ANAME(対象)%は%ANAME(MASTER)%のペニスを舐め始めた	%ANAME(対象)%开始舔%ANAME(MASTER)%的阴茎
「んむっ♥　ちゅ、れろっ……」	「嗯，嗯♥喂，等等……」
「…じゅる…っ…んっんんぅ…♥」	「…来吧…嗯…嗯…♥」
%ANAME(対象)%は%ANAME(MASTER)%の弱いところを的確に攻めてくる	%ANAME(対象)%准确地攻击了%ANAME(MASTER)%的弱点
「ちゅぽっ……ふふっ、いつでも口の中に射精していいのですよ？」	「中穗……呵呵，什么时候都可以射精到嘴里哦？」
「んむっ……ちゅるっ、じゅるるる……」	「嗯……嗯，知道了……」
%ANAME(MASTER)%に抱きつきながら%ANAME(対象)%は淫らに首を動かす	%ANAME(対象)%一边抱住%ANAME(MASTER)%一边淫荡地摇着头
速く精液が欲しいのか上目遣いで射精を切望している	应该是想快一点得到精液，眼睛都向上翻了起来，一心想要快些射精
自らイマラチオをするように%ANAME(対象)%は涙目になりながら高速で首をストロークさせる	%ANAME(対象)%主动做着深喉，流着眼泪，一边快速地前后吞吐着
%ANAME(MASTER)%が気持ち良くなるのを最優先している為か、涎を零すのも構わず振り続ける	可能是是因为要让%ANAME(MASTER)%感受快感放在最优先的位置，流着泪也不要紧，继续坚持做着
その成果あってか、高まる%ANAME(MASTER)%の射精感はすぐに早まっていった…	正因为有了这样的成果，%ANAME(MASTER)%很快就想射精了
速めに首を動かしながらも空いた手でタマを揉んで%ANAME(対象)%は熱い肉棒を奉仕する。	%ANAME(対象)%快速地摇着头，用空手揉着睾丸，侍奉着炽热的肉棒。
頬側にペニスを外から浮き出るのが分かるくらいに擦りつけ、%ANAME(対象)%は楽しそうに笑った…	擦到脸颊侧的阴茎从外面露出来，%ANAME(対象)%开心地笑了…
%ANAME(MASTER)%はそのまま%ANAME(対象)%の口に射精した	%ANAME(MASTER)%就那样射精在%ANAME(対象)%的口中
「…んっ……ごくっ……はぁー…っ…♥」	「…嗯……非常……哈…嗯…♥」
「んっ…んっ……はぁっ……ごくっ…ごくっ♥」	「嗯…嗯……哈……极…极，非常♥」
「コクッ……ごくんっ♥……ふぁっ…んっ……んんっ…」	「浓香……非常♥……啊啊啊…嗯……嗯…」
「…じゅるっ……んっ…ぢゅー……ごきゅっ……♥」	「…熟……嗯…嗯……哦，嗯……♥」
「……ごくんっ…♥…ぢゅるるるっ……んっ……♥」	「……非常…♥…嗯……嗯……♥」
肉棒を%ANAME(対象)%の喉まで突き入れると、そのまま射精する。	把肉棒刺进%ANAME(対象)%的喉咙，就这样射精。
直接喉に流し込まれる液体でむせないよう%ANAME(対象)%は必死に耐える。	为了不让直接流入喉咙的液体呛到，%ANAME(対象)%拼命忍耐。
全て飲みきれたことを頭を撫でて褒めてやると、涙を堪えていた%ANAME(対象)%はすぐに笑顔になった…	抚摸着脑袋并夸赞到全部喝下去时，忍住眼泪的%ANAME(対象)%马上变成了笑容…
待ちかねていたかのようにペニスから吐き出された精液を、%ANAME(対象)%は喉を鳴らして飲み始めた。	%ANAME(対象)%像是在等得不耐烦似的，从阴茎吐出的精液，在喉咙里开始喝了。
%ANAME(対象)%は喉の渇きを癒すようにザーメンを受け止め続ける。	%ANAME(対象)%为了治愈喉咙的干渴继续接受着精液。
射精があらかた終わると、おかわりを強請るように上目遣いで未だ勃起する肉棒を咥え直した…	射精大致结束后，像是要求再来一碗一样，用眼睛向上看，再次叼起勃起的肉棒…
射精が終わると%ANAME(対象)%はペニスを引き抜き、口に溜まった新鮮な精液を吐き出そうとする。	射精结束后，%ANAME(対象)%拔出阴茎，打算吐出嘴里积存的新鲜精液。
しかし、それを吐き出すことが何故か出来ず、ゴクンと喉を鳴らして胃に収めてしまった。	但是，不知为何吐不出来，扑通一声的喉咙响了起来，收进了胃里。
不機嫌そうな表情を取り繕ってはいたが…頬を赤らめて欲情しているのが明らかだった。	装作不高兴的表情…显然脸红了脸还贪得无厌。
尿道に残った分を掃除させようと%ANAME(対象)%の顔に肉棒を近づければ、一瞬の戸惑いの後に口へ含んだ…	想让她打扫尿道里剩下的部分，就把肉棒靠近%ANAME(対象)%的脸，只有那一瞬的困惑之后她就含在了嘴里…
口に出され続ける%ANAME(MASTER)%の精液を%ANAME(対象)%は欲情した顔で飲み干す。	%ANAME(対象)%用贪婪的表情将口边流出的%ANAME(MASTER)%精液全部喝干
尿道に残った分も勢いよく吸い出して、全て胃の中に収める。	尿道里残留的部分也会很好地被吸出来，全部收纳在胃里。
その行為に陶酔し、欲情する%ANAME(対象)%は再びペニスを咥え奉仕を続けた…	陶醉于这种行为，发情地%ANAME(対象)%再次叼着阴茎继续服务…
ペニスから吐き出されるザーメンを飲み干し、%ANAME(MASTER)%の余韻も治まった。	喝完阴茎吐出的精液，%ANAME(MASTER)%的余韵也平息了。
だが、それでも%ANAME(対象)%はストロークを続け、次の射精を所望している…	但是，尽管如此，%ANAME(対象)%还是继续做着，期待着下一次射精…
%ANAME(対象)%は%ANAME(MASTER)%のペニスを胸で挟みしごきはじめた	%ANAME(対象)%用胸口开始夹住%ANAME(MASTER)%的阴茎
「…………んっ…あ…っ…♥…」	「…………嗯…啊…嗯…♥…」
「…ぁ…♥」	「…啊…♥」
%ANAME(対象)%は寝そべった自分に跨る%ANAME(MASTER)%のペニスを谷間に導いた。	%ANAME(対象)%把跨坐在%ANAME(MASTER)%的身上，阴茎引导到自己如同山谷一样的胸间
打ち付ける度に顔に姿を現す亀頭を、%ANAME(対象)%は愛おしく舐め上げた…	每次打到龟头打在脸上时候，%ANAME(対象)%很可爱地舔了一下…
%ANAME(MASTER)%は%ANAME(対象)%の溢れんばかりの双丘の谷間に肉棒を差し込むと、両手で抑え込んで腰を振り始めた。	%ANAME(MASTER)%把肉棒插入%ANAME(対象)%那丰满的胸间，两手压住开始摆动腰。
%ANAME(対象)%は合わせるように爆乳で上下にストロークしながら、谷間から苦しそうに顔をだす亀頭を唇と舌で愛撫する…	%ANAME(対象)%配合着用爆乳上下抚摸，从勉强用嘴巴与舌头安抚着胸谷中的龟头…
%ANAME(対象)%は豊満な乳でペニスを挟むと、慣れた動きでパイズリを始めた。	%ANAME(対象)%用丰乳夹着阴茎，用习惯了的动作开始了阴茎。
谷間に隠れた肉棒を両腕で胸を圧迫しながらタプンタプンと音鳴らしてピストンする。	用双臂压迫着隐藏在山谷里的肉棒，啪嗒啪嗒地响着活塞运动。
視覚的に興奮させるその光景に、%ANAME(MASTER)%は射精感を高めていく…	在这种视觉上令人兴奋的景象中，%ANAME(MASTER)%的射精感不断提高…
胸で%ANAME(MASTER)%のペニスを挟むと、丁度いい形でフィットする。	胸前夹着%ANAME(MASTER)%的阴茎，尺寸正好合适。
溢れんばかりの双丘を軽く持ち上げ圧迫させ、ペニスを前から挿入してそのまま身体をゆっくと動かす。	轻轻地抬高溢出的双丘使之压迫，从前面插入阴茎使身体晃动。
%ANAME(MASTER)%は%ANAME(対象)%の肩を掴みセックスするように腰を振って縦パイズリを堪能する。	%ANAME(MASTER)%抓着%ANAME(対象)%的肩膀摆动着腰，再做爱中
手による圧迫加減でまるで本番をしているかのような快感が、%ANAME(MASTER)%の興奮を高めていく	由于手的压迫，仿佛像是在真正插入性交一样的快感，使%ANAME(MASTER)%变得兴奋起来
%ANAME(対象)%は柔かな胸で%ANAME(MASTER)%のペニスを挟み、まずは軽く上下していく。	%ANAME(対象)%用柔软的胸脯夹住%ANAME(MASTER)%的阴茎，首先轻轻地上下移动。
今度は左右交互に上下していく動きに変え、変える度に双丘をペニスに押し付け刺激する。	然后变成左右交替上下的动作，每次变换都会刺激着被压在双丘上的阴茎。
徐々に腰を動かしてく%ANAME(MASTER)%を見て、気を良くした%ANAME(対象)%はさらに刺激を強めていった…	看着慢慢活动着腰的%ANAME(MASTER)%，变得舒服起来的%ANAME(TARGET)%进一步加强了刺激…感
%ANAME(MASTER)%はそのまま%ANAME(対象)%の胸に射精した	%ANAME(MASTER)%就那样射精在%ANAME(対象)%的胸中
「…っ…あんっ♥」	「…嗯…嗯♥」
勢いよく射精して吐き出されたザーメンを、%ANAME(対象)%は胸で全て受け止める	%ANAME(TARGET)%用胸接住了被猛地射出的精液。
コーティングが終わると、先ほど以上に滑りが良くなった胸で肉棒の奉仕を再開した…	涂抹结束后，比刚才更滑的胸部再次开始了肉棒的侍奉…
大量の精液で汚された胸を%ANAME(対象)%は嬉しそうに眺め、指で撫でて絡め付いた精液を舐めとっていく	%ANAME(TARGET)%高兴地看着被大量精液污染的胸部，用手指抚摸后，舔着缠绕在手上的精液。
%ANAME(対象)%が舐めている間に、%ANAME(MASTER)%は乳首に亀頭を押し付けて残りの分を出そうとする	在%ANAME(対象)%舔舐期间，%ANAME(MASTER)%把龟头压在乳头上，想把剩下的部分射出来
舐めとりが終わると、ペニスを口に含んで残りを吸いあげていった…	舔完后，用嘴里含住阴茎吸了剩下的东西…
%ANAME(MASTER)%は絶頂寸前に豊満な乳房を掴み、柔らかな圧迫感に包まれて谷間の中で射精した	%ANAME(MASTER)%在顶峰前抓住丰满的乳房，被柔软的压迫感包围在谷间中射精
谷間に溜まった精液を胸で上下交互に動かし、肌をザーメンでベトベトにさせていく	用胸上下交替运动涂抹谷间积存的精液，用精液使皮肤变得黏糊糊的
暫くして胸を広げると、広がった精液が糸を引いて谷間を汚していた…	过了一会儿打开双乳，发现展开的精液拉丝污染了胸谷…
%ANAME(対象)%は%ANAME(MASTER)%のペニスを自らの性器でしごきはじめた	%ANAME(対象)%用自己的生殖器开始玩弄%ANAME(MASTER)%的阴茎
「きっ…気持ちっ…あっ……あんっ…っ……そこぉっ…♪」	「切…心情如何…啊……嗯…嗯……那里有…♪」
「…っ…ひゃっ…いいっ……もっ…とぉっ…♥」	「…嗯…哎呀…好……以…嗯…♥」
「はぅっ…♪……っ…あっ……きもち…いっ……♥」	「呋呜…♪……嗯…舒服……哈啊…啊……♥」
「ぁっあっぁっああっ……んぁあっ！…♥」	「啊啊啊啊啊啊……嗯啊啊！…♥」
「…あっ…ぁんっ…はっはっ…♥」	「…啊…啊啊…哈哈…♥」
「当たっ…て…っ…ああぁっ！…あんっ…はぁあぁっ！♥」	「中…手…嗯…啊啊啊啊！…嗯…啊啊啊！♥」
「っひゃんっ………ぁ…あっあっぁあっ♪」	「哎呀………啊…啊啊啊啊啊♪」
「ふぁっ！……んっ…んっあっ……ぁ…あはっ♥」	「啊啊！……嗯…嗯……啊…啊哈哈♥」
「……つぁっ！……し…しびれっ……ふぁっ♥」	「……啊啊！……做…麻痹了……啊啊啊♥」
愛液で濡れきった%ANAME(対象)%の秘所に%ANAME(MASTER)%は性器同士を合わせ、素早く擦っていく。	%ANAME(MASTER)%把性器对准被爱液濡湿了的%ANAME(TARGET)%的秘所，快速地摩擦。
入口を強く刺激されつつ、%ANAME(対象)%もなんとか動いて当たる力を強めていく…	在入口被强烈刺激的同时，%ANAME(TARGET)%也努力地动着身体，加强冲击的力道…
%ANAME(対象)%は%ANAME(MASTER)%に跨って、艶めいた腰つきで動いていく。	%ANAME(対象)%跨上%ANAME(MASTER)%，以艳丽的姿态行动着。
%ANAME(MASTER)%に身体を委ね、%ANAME(対象)%は%ANAME(MASTER)%を抱き寄せるように腕を首に回す。	把身体交给%ANAME(MASTER)%，%ANAME(対象)%抱住%ANAME(MASTER)%，把手臂转动到脖子上。
%ANAME(MASTER)%に跨り、%ANAME(対象)%は愛液で滑りが良くなった秘所を%ANAME(MASTER)%のに擦り付ける。	%ANAME(TARGET)%跨坐在%ANAME(MASTER)%身上，用被爱液浸湿的滑溜溜的秘所摩擦着%ANAME(MASTER)%的身体。
うねりながら身体を動かし、伝わってくる快感に%ANAME(対象)%は淫らな声を上げていた…	不断起伏的身体，传来的快感使%ANAME(TARGET)%发出了淫荡的声音
%ANAME(MASTER)%はそのまま%ANAME(対象)%の股へと射精した	%ANAME(MASTER)%就那样射精在%ANAME(対象)%的胯下
「あーあー、お股がドロドロですねぇ♥」	「啊啊啊，你的腿好黏啊♥」
股にかかった精液を%ANAME(対象)%は手で奇麗に舐めとっていく	%ANAME(対象)%用手干净地舔着大腿上的精液
「底無しですか貴方……？」	「无底洞吗你……？」
%ANAME(対象)%は、射精直後にも関わらず股の間で再び固くなり始めた%ANAME(MASTER)%の陰茎を半ば呆れながら眺めている……	%ANAME(対象)%虽然刚射精不久，但在胯间又开始变硬了，半呆呆地看着%ANAME(MASTER)%的阴茎……
