%ANAME(対象)%の元を訪れると、サンタ帽を被った青髪でショートヘアーの女性が居た	拜访了%ANAME(対象)%，看到一位戴着圣诞帽的蓝色短发的女性。
部屋の主が%ANAME(MASTER)%に気付くと声を掛けてくる	屋主一看到%ANAME(MASTER)%，就打了招呼
%ANAME(対象)%はこちら側をニタァと見るジト目のような目、逆三角形の口からなるどや顔の様なしたり顔の様な何とも言えない表情で若干の脅しをかけてきた	%ANAME(対象)%用一种难以形容的表情威胁着我，像鬼一样的眼睛注视着这边，嘴巴变成了倒三角形
%ANAME(MASTER)%の姿を認めた瞬間、調教の記憶が脳裏に過ったのか%ANAME(対象)%の表情が大きく引き攣った	在看到%ANAME(MASTER)%身影的瞬间，也许是调教的记忆在脑海中闪过，%ANAME(対象)%的表情大幅度地抽动
「…一体どういう風の吹き回し？」	「…到底是吹的什么风？」
%ANAME(対象)%の態度は頑な態度を崩そうとしない	%ANAME(対象)%还是一副不会改变的顽固态度
しかしよく見ると、%ANAME(対象)%の指は無意識のうちに烙印をなぞっている	但是仔细一看，%ANAME(対象)%的手指在无意识地划过烙印。
どうやら先の調教の成果はしっかりと%ANAME(対象)%に刻み込まれているようだ	看来之前调教的成果已经牢牢地刻在了%ANAME(対象)%里
%ANAME(MASTER)%はより深く彼女の心を絡め取るべく暫く行動を共にすることにした……	%ANAME(MASTER)%为了更深入地抓住她的心，决定暂时一起行动……
「どうやら今度は私が悪夢を見せられているようね」	「看来这次是我被人做了噩梦」
「たしかにあの時、私はその悪夢に屈した」	「确实那个时候，我屈服于了那个噩梦」
「でも、貴方の吉夢はいつか終わり悪夢へと変わる」	「但是，你的好梦总有一天也会变成噩梦」
そう苦々しげに吐き捨てると、%ANAME(対象)%はそっぽを向いた	这样恶毒地说着，%ANAME(対象)%转过了身去
%ANAME(対象)%の態度は頑なだ	%ANAME(対象)%的态度很顽固
ここから良好な関係を築くにはなかなか手間が掛かりそうだ……	现在看来要建立良好的关系似乎很费工夫……
しかしよく見ると、%ANAME(対象)%の目は泳ぎ、こちらの一挙一動の度微かに肩を震わせている	但是仔细一看，%ANAME(対象)%的眼睛在不断游移，一举一动都微微地颤动着肩膀
「……誰かと思えば貴方ですか」	「……我以为是谁，原来是你啊」
「私の力が目的？　それとも体が目的かしら？」	「是想要我的力量？还是说身体？」
「まぁ良いわ。　これからよろしく……%ANAME(MASTER)%さん」	「好吧。今后请多关照……%ANAME(MASTER)%先生」
そう言って、%ANAME(対象)%は手を差し伸べてきた	这样说着，%ANAME(対象)%伸出了手
しかし、言葉とは裏腹に%ANAME(対象)%の目は底冷えのする光をたたえている……	但是，和语言相反，%ANAME(対象)%的眼睛却充满着寒冷的光芒……
しかし、%ANAME(対象)%の目は全く笑っていない……	但是，%ANAME(対象)%的眼睛完全没有笑……
%ANAME(MASTER)%は差し出された手をにこやかに握り返した……	%ANAME(MASTER)%笑嘻嘻地握住了伸出的手……
%ANAME(MASTER)%は差し出された手をがっしりと握り返した……	%ANAME(MASTER)%紧握着伸出的手……
「おやおや…」	「哎呀哎呀…」
%ANAME(対象)%の元を訪れた%ANAME(MASTER)%は、なにやら神妙な顔で出迎えられた	来到%ANAME(対象)%身边的%ANAME(MASTER)%，以一副神妙的表情迎接着她
%ANAME(対象)%はDとだけ書かれた表紙の本を読んでいる	%ANAME(対象)%在读封面上只写着D的书
「前回会った日のこと…、貴方は覚えているかしら？」	「上次见面的事…你还记得吗？」
%ANAME(対象)%が真一文字に結んだ口を開いた	%ANAME(対象)%打开了紧闭着的嘴
前回…、それはやはり酔い潰れた%ANAME(対象)%と一夜を過ごした日のことだろうか…	上次…那果然是和烂醉如泥的%ANAME(対象)%共度一夜的日子吧…
こちらの表情から何かを読み取ったのか、%ANAME(対象)%の表情が変わった	不知是从这边的表情里读取了什么，%ANAME(対象)%的表情变了
「人を酔わせて情事に持ち込むなんてね」	「让人喝醉了还谈情事」
「ところで貴方は私の事をどうお考えでいるのかしら？」	「对了，你是怎么想我的呢？」
%ANAME(対象)%は本を置いてゆっくりと%ANAME(MASTER)%に近付いてくる	%ANAME(対象)%放下书慢慢地接近%ANAME(MASTER)%
じりじりと近づいてくる%ANAME(対象)%に%ANAME(MASTER)%は咄嗟に話題をすり替える	%ANAME(MASTER)%马上换上了话题
何とか%ANAME(対象)%の質問をはぐらかす事に成功した	总算把%ANAME(対象)%的问题岔开了
しかし、結果として相当に時間を食うことになってしまった	但是，结果却花了相当长的时间
今日使える時間はもうあまり残っていないだろう……	今天能用的时间已经没剩多少了吧……
「そうやって白々しい対応をされると少し寂しいものね」	「这样冷淡地应对的话会有点寂寞呢」
「だから今はこの距離を楽しむ事にしましょう…でもいずれは」	「所以现在就享受这个距离吧…但是总有一天」
「おやおや…？」	「哎呀哎呀…？」
「どうなされたのかしら、随分と機嫌がよろしいようね」	「不知道怎么了，你好像心情很好呢」
「ははぁん…まさか前の事を勘違いされてるご様子で」	「啊哈哈…难道是之前的事被误解了吗」
「"一度抱いた女だからチョロイ"だなんて…ねぇ」	「"因为是抱过一次的女人所以很好对付"是吗…呐」
「ふーむ図星のようですね」	「唔姆，说中了呢」
「残念ながら私は夢の世界の住人、心も夢のように移ろい易いものでしてね」	「很遗憾，我是梦之世界的住人，心也像梦一样易变」
「さてこれ以上は野暮ったいので言いませんが」	「好了，因为这很庸俗，我不想再多说了。」
「…これ以上は貴方には期待していますね」	「……我对你还有更多的期待哦。」
「さて、晴れて恋人同士ではあるのですが…」	「那么，虽然是正式的情侣了…」
「別にいつもと変わりありませんね」	「没什么变化啊」
「ま、お互い気楽に行きましょう」	「好吧，那我们就轻松一点吧」
「おやおや、随分とギラついたご様子で」	「哎呀哎呀，真是一副色迷迷的样子」
「まさかキスの一つでここまで舞い上がってしまうとは」	「没想到一个吻就成这样了」
「これ以上は少々焦らしたくなりますね」	「再往上的话会不会变得急不可耐了呢」
「ふーむ、思っていた以上に思い通りにならないものですね」	「嗯，比想象中的还要不如意呢」
「いえ、何もありませんよ」	「不，没什么」
「あら、おはよう」	「啊，早上好」
%ANAME(MASTER)%の姿を認めた%ANAME(対象)%の表情がパッと輝いた……	看到了%ANAME(MASTER)%的身姿的%ANAME(対象)%的表情一下子变得熠熠生辉……
「アナタ、どうかした？」	「你怎么了？」
%ANAME(対象)%は読んでいた本を閉じて%ANAME(MASTER)%に微笑みかけた……	%ANAME(対象)%闭上读着的书对%ANAME(MASTER)%微笑……
「あら、どうかした？」	「哎呀，怎么了？」
%ANAME(対象)%は本を読んでいるが尻尾が上下に凄いスピードで跳ねてる	%ANAME(対象)%在看书，尾巴上下快速地跳跃着
「貴方ですか、今お茶を入れるで少しお待ちを」	「是您啊，现在给您倒茶，请稍等」
%ANAME(対象)%は、読んでいた本を慌てて閉じ接客の準備を始めた……	%ANAME(対象)%慌忙合上读着的书，开始准备接待客人……
「貴方ですか…。今日は何の用で？」	「是您啊…。今天有什么事？」
%ANAME(対象)%は、本を閉じて%ANAME(MASTER)%の言葉を待っている……	%ANAME(対象)%闭上书等着%ANAME(MASTER)%的话……
「おや、貴方ですか。どうかなされましたか？」	「哦，是您啊。怎么了？」
%ANAME(対象)%の言葉には親しみが籠められている……	%ANAME(対象)%的话语里包含着亲切……
「貴方ですか。今日は何のご用で？」	「是您啊。今天有什么事？」
%ANAME(対象)%はおどけた様に%ANAME(MASTER)%に微笑みかけた……	%ANAME(対象)%像开玩笑一样对%ANAME(MASTER)%微笑……
「あら良い所に。丁度今貴方のことを考えていたところです」	「啊拉，这真是个好地方。我正好在想着你呢」
%ANAME(対象)%は読んでいた本を閉じると、%ANAME(MASTER)%の側に歩み寄ってきた……	%ANAME(対象)%把读过的书合上，走近%ANAME(MASTER)%的身边……
「貴方ですか。今日は何の用で？」	「是您啊。今天有什么事？」
%ANAME(対象)%は、本を読みながら%ANAME(MASTER)%の言葉を待っている……	%ANAME(対象)%一边看书一边等着%ANAME(MASTER)%的话……
%ANAME(対象)%の言葉にはどことなく期待が混ざっている……	%ANAME(対象)%的言语中总有种期待混合在一起……
「はぁ、また貴方ですか」	「哈，又是您啊」
%ANAME(対象)%の言葉はそっけない……	%ANAME(対象)%的话很冷淡……
「あらあら？もう帰るのですか？まだ朝まで時間はありますよ、もう少し隣に居ても…ひっく」	「哎呀哎呀？你要回去了吗？到早上还有时间哦，即使再在旁边待一会儿也…嗝」
%ANAME(MASTER)%は酒と激しい運動ですっかり泥酔した%ANAME(対象)%に肩を貸すと、	%ANAME(MASTER)%将肩膀借给因酒和激烈运动而烂醉如泥的%ANAME(対象)%
適当に宥めながら%ANAME(対象)%の自室へと連れて行った……	一边安抚%ANAME(対象)%，一边把她带回自己的房间……
―――――翌日、ドレミーの部屋	——―――第二天，哆来咪的房间
「ん゛…、う゛ぅ……」	「嗯…嗯……」
「もうこんな時間に……？」	「已经这个时间了……？」
「…ッ！少々遊び過ぎたようね……」	「…呃！好像玩得有点过头了……」
「いけないわね…、私ともあろうものが酒に呑まれるとは…不覚ね……」	「不行啊…我竟然被酒吞了…不知不觉的时候……」
「っ～～～～～！！…頭もじゃが…、体のあちこちが痛いわね………」	「～～～～！！…头脑发麻…身体各处都疼啊………」
「特に股のあたりがジンジンと……、股の………」	「特别是胯下那里一阵一阵的……、胯下的………」
「…股の？」	「…胯下？」
「あまりみっとも無いところは見せたく無かったのに…」	「明明不想让人看到不太好看的地方的…」
%ANAME(対象)%は仰臥したまま粗い呼吸を繰り返している……	%ANAME(対象)%就这样仰卧着不断喘着粗气……
「満足しましたか…？それは…よかった……」	「满足了吗…？那…那就太好了……」
%ANAME(対象)%は俯せになり上目遣いに%ANAME(MASTER)%を見つめている……	%ANAME(対象)%低着头向上看，凝视着%ANAME(MASTER)%……
「は…、もうこれで終わりかしら…♥」	「哈…、已经结束了吧…♥」
%ANAME(対象)%は疲れ果てぐったりしているが、その顔は何処か満ち足りている……	%ANAME(対象)%虽然疲惫不堪，但脸上却洋溢着满足……
「むぅぅ…、私としたがみっとも無い……」	「呜…、不要看着我……」
「満足しましたか…？それは…なによりなことで……」	「满足了吗…？那…那就太好了……」
%ANAME(対象)%は俯せのまま身体を動かすのも億劫そうだ……	%ANAME(対象)%低着头，好像连身体都懒得动了……
「は…、激しすぎです…」	「哈…太激烈了…」
%ANAME(対象)%は疲れ果てぐったりしている……	%ANAME(対象)%疲惫不堪……
「いたた、慣れない事はするものじゃないですね…」	「痛痛痛，不应该做不习惯的事情啊…」
%ANAME(対象)%は腰を擦っている……	%ANAME(対象)%搓着腰……
「しばし休憩させて貰いますね……」	「请允许我稍微休息一下……」
%ANAME(対象)%は布一枚羽織って横になっている……	%ANAME(対象)%披上一件布躺着……
「あなたが満足するまで付き合ったら体が持ちそうにありませんよ…」	「如果一直做到你满足为止的话，我的身体会撑不下去的…」
%ANAME(対象)%は足を投げ出して体中を揉み解している……	%ANAME(対象)%把脚伸出来揉搓着身体……
「もう少しくらいゆっくりしていってくれても…」	「再稍微慢一点再走也没关系…」
「…いえ、今のは無しで。貴方にもやることが有るのでしょう？」	「…不，没有现在的。你也有要做的事吧？」
「帰るの…？そうですか…」	「要回去了…？是吗…」
「ん…？もうこんな時間。ところで今日は私の元で寝ませんか？あら…そう大変なのね」	「嗯…？已经这个时间了。但是今天不睡在我身边吗？哎呀…你真的很辛苦呢」
「次はいつに…。いや、聞いただけです…」	「下次什么时候…。不，只是问问而已…」
「………それでは」	「………那么，再见」
%ANAME(対象)%はこちらを見ようとしない……	%ANAME(対象)%不想看这边……
「もう少しゆっくりしていっては如何ですか？」	「再坐一会儿怎么样？」
「帰るの…？では、また後で…」	「回去吗…？那么，一会儿见…」
「ん？こんな時間…。名残惜しいけどお別れね」	「嗯？这样的时间…。虽然恋恋不舍但还是要离别啊」
「では、また後で」	「那么，回头见」
「私としては、もう少しゆっくりしていってくれても…」	「我觉得，再慢一点也可以…」
「では、また」	「那么，再见」
「ここならば邪魔が入りませんね」	「这里的话不会有人打扰吧」
「ここならば邪魔は入りませんね」	「这里的话不会有人打扰吧」
「何を言わなくて分かっています」	「我不需要说什么，我知道的」
「ははぁん私一人ですか」	「哈哈，只有我一个人吗」
%ANAME(対象)%は俯せのまま身体を動かすのも億劫そうにしている……	%ANAME(対象)%懒得低着头活动身体……
%ANAME(対象)%はそっぽを向いている……	%ANAME(対象)%不理我……
%ANAME(MASTER)%は%ANAME(対象)%に対して強気に出た…	%ANAME(MASTER)%对%ANAME(対象)%强势起来…
「………ん」	「………嗯」
不意打ち気味のキスなのに対して%ANAME(対象)%は余裕の表情を見せる	对于突然袭来的吻，%ANAME(対象)%露出了从容的表情
「…唐突で少し驚きはしましたよ…、ところでこれで終わりでしょうか？」	「…这么突然稍微有点吃惊呢…话说回来，这就结束了吗？」
%ANAME(対象)%はニヤケながら次を促してきた	%ANAME(対象)%一边笑着一边催促着下一次
%ANAME(対象)%は強がっているが、尻尾が緊張で毛羽立っている……	%ANAME(対象)%显然是在逞强，因为尾巴都已经炸毛了……
「ちゅっ……」	「嗯……」
「んー…………」	「嗯…………」
「ん……」	「嗯……」
%ANAME(対象)%はもう一度キスをせがむように唇をトントンと指で叩いている……	%ANAME(対象)%用手指咚咚地敲着嘴唇，像是要再吻一次……
%ANAME(対象)%の瞳は熱を帯びて潤んでいる……	%ANAME(対象)%的眼睛湿润着带着热气……
%ANAME(対象)%は物足りなさげに唇を尖らせている……	%ANAME(対象)%不满足地嘟着嘴唇……
%ANAME(対象)%は唇を指でなぞっている……	%ANAME(対象)%用手指描绘着嘴唇……
%ANAME(対象)%の瞳は少し熱を帯びているように見える……	%ANAME(対象)%的眼神看起来有点灼热……
「思いのほか緊張するわね……」	「出乎意料地紧张呢……」
「その…優しくしてよ？」	「那个…温柔一点吧？」
%ANAME(MASTER)%は%ANAME(対象)%の体を丹念に愛撫する	%ANAME(MASTER)%精心爱抚着%ANAME(対象)%的身体
「んっ♥……ふっ……♥」	「嗯♥……呼……♥」
%ANAME(対象)%はくすぐったそうに身をよじっている	%ANAME(対象)%因为痒痒的感觉扭动着身体
「ふぁぁ……あっ♥」	「呼啊……啊♥」
「あなたの手つき……凄くいやらしい……」	「你的手势……好下流啊……」
「でも、気持ちいい……」	「但是，好舒服……」
%ANAME(対象)%の弱いところを執拗に愛撫する%ANAME(MASTER)%	%ANAME(MASTER)%执拗地爱抚着%ANAME(対象)%的弱点
「ちょっ、%ANAME(MASTER)%…… そこ、弱いのに、ひゃぅんっ♥」	「等、%ANAME(MASTER)%……那里，明明是很弱的地方，呀啊♥」
首筋に舌を這わせると、%ANAME(対象)%はゾクゾクと身をよじらせた	被舌头在脖子上舔着，%ANAME(対象)%兴奋地扭动着身体
そのまま胸や陰核を手で愛撫する	就这样用手爱抚胸部和阴核
「ぁっ……ふぁ、ん♥」	「啊……嗯，嗯♥」
「んはぁ♥……ん、ふぁ……」	「嗯哈♥……嗯，嗯……」
%ANAME(対象)%は%ANAME(MASTER)%の手から与えられる緩めの快感に身を委ねている	%ANAME(対象)%任凭身体沉溺于%ANAME(MASTER)%的手所给予的缓和的快感
「あっ……ねぇ、同じところばかりじゃなく、いろんな所を……」	「啊……啊，不要只是在同一个地方，其他地方也……」
「んっ♥、あ♥♥、それ、気持ちいい……ふぁ、んっ♥♥♥」	「嗯♥啊，啊♥♥、那个好舒服……嗯，嗯♥♥♥」
「…っ…」	「…嗯…」
「ふぁぁ……あっ…」	「呼啊……啊…」
「…っ………ぁ…」	「…嗯………啊…」
「ふぁっ…ぁ…はんっ…あっ…」	「啊啊啊…啊…哈哈…啊…」
「……んっ…んんっ…ぁ…」	「……嗯…嗯…啊…」
「…っ…んっ…」	「…嗯…嗯…」
「ちょっ、%ANAME(MASTER)%……！ そこ、弱いのに、ひゃぅんっ♥」	「等、%ANAME(MASTER)%……！那里，明明很弱，但是♥」
「んっ♥、あ♥♥、それ、気持ちいい……ふぁ、んっ♥♥」	「嗯♥啊，啊♥♥、那个好舒服……嗯，嗯♥♥」
「柔らかくて形も綺麗…そう言われると余計恥ずかしいわね……」	「柔软的形状也很漂亮…这么一说就更不好意思了……」
「…でも喜んで貰えたのなら嬉しいわ」	「…但是如果能让你开心的话我会很开心的」
「んっ……ふっ……」	「嗯……呼……」
「%ANAME(MASTER)%……随分と胸が好きなのねぇ……？」	「%ANAME(MASTER)%……相当喜欢胸部呢……？」
「ふふっ、良いですよ？好きなだけ触って…♥」	「呋呋，可以哦？随便摸吧…♥」
「柔らかくて形も綺麗…ねぇ」	「柔软的形状也很漂亮…呐」
「あんまりジロジロみないで欲しいわねぇ」	「不要一直盯着看啊」
「きっ…気持ちっ…あっ……あんっ…っ……そこぉっ…♪」	「咦…好酥糊…啊……啊…嗯……那里…♪」
「…っ…ひゃっ…いいっ……もっ…とぉっ…♥」	「…嗯…哎呀…好……以…嗯…♥」
「あはっ♥……はっ…んっ……くあっ…♥」	「啊哈哈♥……啊…嗯……啊啊…♥」
「はぅっ…♪……っ…あっ……きもち…いっ……♥」	「嗯…♪……嗯…啊……好酥糊…咦……♥」
「ぁっあっぁっああっ……んぁあっ！…♥」	「啊啊啊啊啊啊……嗯啊啊！…♥」
「…あっ…ぁんっ…はっはっ…♥」	「…啊…啊啊…哈哈…♥」
「んん！だめ、声が……♥」	「嗯！不行，声音……♥」
「んやぁっ乳首、こりこりしちゃぁ、あぁ♥♥♥」	「呀啊，乳头，变得硬邦邦的了♥♥♥」
「っひゃんっ………ぁ…あっあっぁあっ♪」	「哎呀………啊…啊啊啊啊啊♪」
「ふぁっ！……んっ…んっあっ……ぁ…あはっ♥」	「啊啊！……嗯…嗯……啊…啊哈哈♥」
「……んっ…あっ！…あんっ……♥」	「……嗯…啊！…嗯……♥」
「…っ…♥」	「…嗯…♥」
「ふぁぁ……あっ♥♥」	「呼啊……啊♥♥」
「…っ♥………ぁ…♥♥」	「…嗯♥………啊…♥♥」
「ふぁっ♥…ぁ…はんっ♥…あっ♥♥」	「啊啊啊♥…啊…哈哈♥…啊♥♥」
「……んっ♥…んんっ♥♥…ぁ…」	「……嗯♥…嗯，嗯♥♥…啊…」
「…っ…んっ♥♥」	「…嗯…嗯♥♥」
「えと…その優しくしてよね？」	「嗯…请温柔一点吧？」
「えぇ！？ 待って、そんなとこ！」	「诶！？等一下，那种地方！」
「ぁ……」	「啊……」
%ANAME(MASTER)%は%ANAME(対象)%の秘所に顔を近づける	%ANAME(MASTER)%把脸靠近%ANAME(対象)%的秘处
%ANAME(対象)%のそこからはこれから始まる行為への期待で蜜が零れていた	%ANAME(対象)%的那里对即将开始的行为滴下了期待的蜜汁
%ANAME(MASTER)%は%ANAME(対象)%の膣口を舐めまわす	%ANAME(MASTER)%舔着%ANAME(対象)%的阴道口
「んんっ」	「嗯，嗯」
%ANAME(対象)%はあまりの快感にのけぞった	%ANAME(対象)%因过于强烈的快感身体后仰着
「ぅあ、や、だめっ、気持ちい、んぁあっ」	「呀，不，不行，好舒服，啊」
「そんな、舌、動かさないで、ん、ぁあぅっ」	「那样的，舌头，不要动，嗯，啊」
「だめっ、おかしく、なっちゃ、うぅっ……」	「不行，很奇怪，不行，不行……」
「や、あ、だめ、待って、そんな、ひゃぅうっ」	「啊，啊，不行，等一下，这样啊」
「！？ あっ、舌、膣内で暴れて、くぁあん、ふああっ」	「！？ 啊，舌头，在阴道内乱动，呜呜，呜呜」
「くふぅっ や、あ、だ、めぇ……」	「呜呜，啊，啊，不，要啊……」
%ANAME(対象)%は%ANAME(MASTER)%の頭を両手で押さえつけてくる	%ANAME(対象)%用双手按住%ANAME(MASTER)%的头
「こんな、気持ちいいの、すぐ、イッちゃ、ぅぁああっ」	「这么，舒服的，马上，要去了，啊啊啊啊」
「…っ……ぁ…」	「…嗯……啊…」
「指で……？ まぁ……いいけど……」	「用手指……？嘛……可以，但是……」
「もう……その、あなたの……もう十分に濡れ……なんでもない」	「已经……那个，你的……已经完全湿了……没什么」
%ANAME(対象)%はなにやら残念そうな表情をした	%ANAME(対象)%一脸遗憾的表情
「っ……痛っ……」	「嗯……好痛……」
%ANAME(対象)%は痛みに顔をしかめた	%ANAME(対象)%痛苦地皱起了眉头
「んっ……ぁあんっ」	「嗯……啊啊啊」
「あなたの指……入ってきて、ぁうっ」	「你的手指……进来，啊」
「あまり激しくしないでよ……？」	「不要太激烈哦……？」
「んぁっ！ はぁ……んっ……」	「嗯！哈……嗯……」
「んぁぁうっ♥　や、まって、%ANAME(対象)%っ……♥」	「嗯啊啊♥呀，等等，%ANAME(対象)%……♥」
「そんな、膣内、かきまわされて……ひゃぅうっ♥」	「那样的，阴道内，被搅拌……哎呀♥」
「こんなの♥　イッちゃう♥　んぁぁああっ♥♥♥」	「这样的♥我要♥嗯啊啊啊啊♥♥♥」
「ぅあや♥　だめっ♥ 気持ちい、んぁあっ♥」	「嗯，嗯♥不行♥ 好舒服，啊♥」
「そんな指っ……動かさないで、んっっ♥　ぁあぅっ♥」	「那样的手指……不要动，嗯♥啊啊啊♥」
「だめっ、おかしく、なっちゃ、うぅっ……♥」	「不行，很奇怪，不行，不行……♥」
「や♥　あ、だめ♥　待って、そんな、ひゃぅうっ♥♥」	「啊♥啊，不行♥等一下，这样啊♥♥」
「！？ あっ、指、ナカで暴れて♥　くぁあん♥　ふああっ♥♥」	「！？啊，手指，在哪里乱动♥呜啊♥啊♥♥」
「くふぅっ や、あ、だ、めぇ……♥♥」	「呜呜，啊，啊，不，要啊……♥♥」
「こんな、気持ちいいの、すぐ、イッちゃ、ぅぁああっ♥♥♥」	「这么，舒服的，马上，要去了，啊啊啊啊♥♥♥」
「んぁっ……く、ふぅっ……」	「嗯……嗯，嗯……」
「は……ぁっ、ふぅ……んっ……」	「哈……啊，呼……嗯……」
「ぇえ！？ や、そんなとこ、んぁあっ」	「诶！？啊，那种地方」
「そこは不浄の…いやっ！」	「那里是不净之地…喂！」
「そんな、おしりのなかぁ、かきまわされて……ひゃぅうっ♥」	「那样的，屁屁啊，被搅乱了……哎呀♥」
「ちょっと……恥ずかしい、わね」	「有点……好害羞啊」
「随分とマニアックな事をさせるのね」	「真是做了相当疯狂的事情呢」
「お客様、どこかかゆいところはございませんか……なんてね」	「客人，有什么痒的地方吗……开玩笑的」
「あら……？ ふふっ、なんか硬いのが当たってる……」	「哎呀……？呋呋，有点硬……」
「わかってるわ、そっちも後でちゃんとしてあげるから」	「我知道，那之后也会好好做的」
「んっ……私の体で、綺麗にしてあげるわね……」	「嗯……用我的身体，让你变漂亮吧……」
「ふふっ、なんかこれ興奮してきちゃうわね」	「呋呋，总觉得这个很兴奋呢」
「ん、しょ……」	「嗯，对吧……」
「これ……気持ちいい事は気持ちいいけど……絶対体洗えてないわよね……」	「这个……虽然舒服是很舒服……绝对不是在洗身体吧……」
「えっ…、尻尾を入れるの…？」	「诶…把尾巴放进去吗…？」
%ANAME(対象)%の膣内は既に濡れて%ANAME(MASTER)%のモノを受け入れられる	%ANAME(対象)%的阴道内已经湿透到完全可以接受%ANAME(MASTER)%的东西了
「そうねぇ、出来れば%ANAME(MASTER)%の……で」	「是啊，可以的话%ANAME(MASTER)%的……呜」
少し恥ずかしそうに%ANAME(対象)%は自身の尻尾を%ANAME(MASTER)%の尻尾に絡める…	有点害羞的%ANAME(対象)%用自己的尾巴缠住了%ANAME(MASTER)%的尾巴…
「…でもこういうの、悪くないかも」	「…但是这样的话，好像也不坏」
シュルシュルと%ANAME(MASTER)%の尻尾に絡みつき、自身のワレメへ添わせ怪しく微笑む%ANAME(対象)%	和%ANAME(MASTER)%的尾巴咻噜咻噜地缠在一起，%ANAME(対象)%对着自己的秘裂露出了奇怪的微笑
%ANAME(対象)%はそのまま、思わず緊張した%ANAME(MASTER)%の尻尾を優しく自身の膣内へ挿入していく	就那样，%ANAME(対象)%情不自禁地把紧张的%ANAME(MASTER)%的尾巴温柔地插入自己的阴道里
「んっ……%ANAME(MASTER)%のが……はいって、きてる……」	「嗯……%ANAME(MASTER)%的……进来，来了……」
「%ANAME(MASTER)%っ、%ANAME(MASTER)%っ」	「%ANAME(MASTER)%、%ANAME(MASTER)%」
%ANAME(対象)%は背筋をピンと伸ばし、尻尾を挿入したまま%ANAME(MASTER)%を抱きしめる	%ANAME(対象)%挺直背脊，插着尾巴紧紧抱住%ANAME(MASTER)%
異物感に慣れないでいる%ANAME(対象)%を、挿入したまま抱きしめ動かない%ANAME(MASTER)%	不习惯异物感的%ANAME(対象)%，插入后紧紧抱住%ANAME(MASTER)%保持不动
尻尾をゆっくり前後にストロークさせ、先端の毛で膣内をブラッシングしていく	尾巴慢慢地前后摆动，用尖端的毛在阴道内刷着
「んぅっ はげ、し……やぁんっ」	「呜呜、好，强烈……呀啊」
%ANAME(対象)%が手をこちらに伸ばしてきた	%ANAME(対象)%向这边伸出手
その手を握ってあげると%ANAME(対象)%も握り返してくる	握住那只手后%ANAME(対象)%也握了回来
%ANAME(MASTER)%も%ANAME(対象)%と繋がっている幸福を噛み締めながらスパートをかけた	%ANAME(MASTER)%和%ANAME(対象)%紧紧相连，一边品味着幸福一边冲刺
「んぁあっ %ANAME(MASTER)%、%ANAME(MASTER)%……」	「嗯，%ANAME(MASTER)%，%ANAME(MASTER)%……」
「んぁ、ぁぁあああ～～～……」	「嗯，啊啊啊～～……」
「んぁあっ！ ちょ、っと、痛くない、って……」	「嗯啊啊！慢，点，不痛，嗯……」
「くぁっ、ひぐぅう……っ」	「咔哈，咕噫……嗯」
